dataset: A
instance: FL
+-----------+
2D Packing Heuristic in Truck P243070009
Min2DVol: 26.400000000000006 [m2]
Stack 0 with items: ['0090015100_03072022009585', '0090015100_03072022009585']
Stack 1 with items: ['0090015100_03072022006002', '0090015100_03072022006002']
Stack 2 with items: ['0090015100_03072022006002', '0090015100_03072022006002']
Stack 3 with items: ['0090015100_03072022006002', '0090015100_03072022006002']
Stack 4 with items: ['0090015100_03072022010515', '0090015100_03072022010515']
Stack 5 with items: ['0090015100_03072022010515', '0090015100_03072022010515']
Stack 6 with items: ['0090015100_03072022010515', '0090015100_03072022010515']
Stack 7 with items: ['0090015100_03072022010515', '0090015100_03072022010515']
Stack 8 with items: ['0090015100_03072022010515', '0090015100_03072022010515']
Stack 9 with items: ['0090015100_03072022010515', '0090015100_03072022010515']
Stack 10 with items: ['0090015100_03072022010515', '0090015100_03072022010515']
Stack 11 with items: ['0090015100_03072022010515', '0090015100_03072022010515']
Stack 12 with items: ['0090015100_03072022010515', '0090015100_03072022010515']
Stack 13 with items: ['0090015100_03072022010515', '0090015100_03072022010515']
Heuristic packed all stacks
