dataset: B
instance: TR2
+-----------+
2D Packing Heuristic in Truck P347274701
Min2DVol: 16.0056 [m2]
Stack 0 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 1 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 2 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 3 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 4 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 5 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 6 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 7 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 8 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 9 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 10 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 11 with items: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stacks not packed:
Stack 8 missing: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 9 missing: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 10 missing: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
Stack 11 missing: ['0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771', '0090017000_26102022001771']
