dataset: C
instance: DO
+-----------+
2D Packing Heuristic in Truck P066335601
Min2DVol: 29.99999999999999 [m2]
Stack 0 with items: ['0090019100_27022023026292', '0090019100_27022023026292', '0090019100_27022023026292']
Stack 1 with items: ['0090019100_27022023026292', '0090019100_27022023026292', '0090019100_27022023026292']
Stack 2 with items: ['0090019100_27022023026292', '0090019100_27022023026292', '0090019100_27022023026292']
Stack 3 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 4 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 5 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 6 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 7 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 8 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 9 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 10 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 11 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 12 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 13 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 14 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 15 with items: ['0090019100_27022023012224', '0090019100_27022023012224', '0090019100_27022023012224']
Stack 16 with items: ['0090019100_27022023012224', '0090019100_27022023011051', '0090019100_27022023012224']
Stack 17 with items: ['0090019100_27022023011051', '0090019100_27022023011051', '0090019100_27022023011051']
Stack 18 with items: ['0090019100_27022023011051', '0090019100_27022023011051', '0090019100_27022023011051']
Stack 19 with items: ['0090019100_27022023011051', '0090019100_27022023011051', '0090019100_27022023011051']
Stack 20 with items: ['0090019100_27022023011051', '0090019100_27022023011051', '0090019100_27022023011051']
Stack 21 with items: ['0090019100_27022023006901', '0090019100_27022023005876', '0090019100_27022023006901']
Stack 22 with items: ['0090019100_27022023005876', '0090019100_27022023005876', '0090019100_27022023005876']
Stack 23 with items: ['0090019100_27022023005876', '0090019100_27022023005876', '0090019100_27022023005876']
Stack 24 with items: ['0090019100_27022023001674', '0090019100_27022023001674', '0090019100_27022023001674']
Heuristic packed all stacks
