dataset: X
instance: TR
+-----------+
2D Packing Heuristic in Truck P219421801
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090017000_08062023039178', '0090017000_08062023038670', '0090017000_08062023039178']
Stack 1 with items: ['0090017000_08062023031667', '0090017000_08062023030875', '0090017000_08062023031667']
Stack 2 with items: ['0090017000_08062023030875', '0090017000_08062023030875', '0090017000_08062023030875']
Stack 3 with items: ['0090017000_08062023030875', '0090017000_08062023030875', '0090017000_08062023030875']
Stack 4 with items: ['0090017000_08062023030875', '0090017000_08062023030875', '0090017000_08062023030875']
Stack 5 with items: ['0090017000_08062023030875', '0090017000_08062023030875', '0090017000_08062023030875']
Stack 6 with items: ['0090017000_08062023030875', '0090017000_08062023030875', '0090017000_08062023030875']
Stack 7 with items: ['0090017000_08062023030875', '0090017000_08062023030875', '0090017000_08062023030875']
Stack 8 with items: ['0090017000_08062023030875', '0090017000_08062023029323', '0090017000_08062023029323']
Stack 9 with items: ['0090017000_08062023029323', '0090017000_08062023029323', '0090017000_08062023029323']
Stack 10 with items: ['0090017000_08062023025227', '0090017000_08062023025227', '0090017000_08062023025227']
Stack 11 with items: ['0090017000_08062023025227', '0090017000_08062023015564', '0090017000_08062023015564']
Stack 12 with items: ['0090017000_08062023015564', '0090017000_08062023009171', '0090017000_08062023015564']
Stack 13 with items: ['0090017000_08062023008181', '0090017000_08062023008181', '0090017000_08062023008181']
Stack 14 with items: ['0090017000_08062023008181', '0090017000_08062023005270', '0090017000_08062023008181']
Stack 15 with items: ['0090017000_08062023005270', '0090017000_08062023005270', '0090017000_08062023005270']
Stack 16 with items: ['0090017000_08062023005270', '0090017000_08062023005270', '0090017000_08062023005270']
Stack 17 with items: ['0090017000_08062023005270', '0090017000_08062023005270', '0090017000_08062023005270']
Stack 18 with items: ['0090017000_08062023004823', '0090017000_08062023004823', '0090017000_08062023004823']
Stack 19 with items: ['0090017000_08062023004823', '0090017000_08062023004823', '0090017000_08062023004823']
Stack 20 with items: ['0090017000_08062023004823', '0090017000_08062023004823', '0090017000_08062023004823']
Stack 21 with items: ['0090017000_08062023004823', '0090017000_08062023004823', '0090017000_08062023004823']
Stack 22 with items: ['0090017000_08062023004823', '0090017000_08062023004823', '0090017000_08062023004823']
Stack 23 with items: ['0090017000_08062023004823', '0090017000_08062023004823', '0090017000_08062023004823']
Stack 24 with items: ['0090017000_08062023004823', '0090017000_08062023004823', '0090017000_08062023004823']
Stack 25 with items: ['0090017000_08062023003585', '0090017000_08062023003585', '0090017000_08062023003585']
Heuristic packed all stacks
