dataset: C
instance: CI
+-----------+
2D Packing Heuristic in Truck P086412401
Min2DVol: 26.60000000000001 [m2]
Stack 0 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 1 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 2 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 3 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 4 with items: ['0090016800_27022023005304']
Stack 5 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 6 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 7 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 8 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 9 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 10 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 11 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 12 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 13 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 14 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 15 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 16 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 17 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 18 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 19 with items: ['0090016800_27022023005304', '0090016800_27022023005304']
Stack 20 with items: ['0090016800_27022023018645', '0090016800_27022023018645']
Stack 21 with items: ['0090016800_27022023007589', '0090016800_27022023007589']
Heuristic packed all stacks
