dataset: C
instance: BY3
+-----------+
2D Packing Heuristic in Truck P107060801
Min2DVol: 20.433240000000005 [m2]
Stack 0 with items: ['0090016900_28022023006943', '0090016900_28022023001001', '0090016900_28022023019642']
Stack 1 with items: ['0090016900_28022023032188', '0090016900_28022023031304', '0090016900_28022023010293']
Stack 2 with items: ['0090016900_28022023022937', '0090016900_28022023013551', '0090016900_28022023009865', '0090016900_28022023027219', '0090016900_28022023031895']
Stack 3 with items: ['0090016900_28022023010551', '0090016900_28022023031895']
Stack 4 with items: ['0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043']
Stack 5 with items: ['0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043']
Stack 6 with items: ['0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043']
Stack 7 with items: ['0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043']
Stack 8 with items: ['0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043']
Stack 9 with items: ['0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043']
Stack 10 with items: ['0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043']
Stack 11 with items: ['0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043', '0090016900_28022023034043']
Stack 12 with items: ['0090016900_28022023034043', '0090016900_28022023028794', '0090016900_28022023034043', '0090016900_28022023034043']
Stack 13 with items: ['0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794']
Stack 14 with items: ['0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794']
Stack 15 with items: ['0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794']
Stack 16 with items: ['0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794']
Stack 17 with items: ['0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794']
Stack 18 with items: ['0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794']
Stack 19 with items: ['0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794']
Stack 20 with items: ['0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794', '0090016900_28022023028794']
Stack 21 with items: ['0090016900_28022023028794', '0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023028794']
Stack 22 with items: ['0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561']
Stack 23 with items: ['0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561']
Stack 24 with items: ['0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561']
Stack 25 with items: ['0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561']
Stack 26 with items: ['0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561']
Stack 27 with items: ['0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561']
Stack 28 with items: ['0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561']
Stack 29 with items: ['0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561', '0090016900_28022023015561']
Stack 30 with items: ['0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722']
Stack 31 with items: ['0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722']
Stack 32 with items: ['0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722']
Stack 33 with items: ['0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722']
Stack 34 with items: ['0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722']
Stack 35 with items: ['0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722']
Stack 36 with items: ['0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722']
Stack 37 with items: ['0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722']
Stack 38 with items: ['0090016900_28022023001722', '0090016900_28022023001722', '0090016900_28022023001722']
Heuristic packed all stacks
