dataset: A
instance: BY
+-----------+
2D Packing Heuristic in Truck P264067501
Min2DVol: 26.188290000000016 [m2]
Stack 0 with items: ['0090016900_03072022014075', '0090016900_03072022014075']
Stack 1 with items: ['0090016900_03072022014075', '0090016900_03072022011662']
Stack 2 with items: ['0090016900_03072022011662', '0090016900_03072022011662']
Stack 3 with items: ['0090016900_03072022011662', '0090016900_03072022011662']
Stack 4 with items: ['0090016900_03072022011662', '0090016900_03072022011662']
Stack 5 with items: ['0090016900_03072022011662', '0090016900_03072022011662']
Stack 6 with items: ['0090016900_03072022011662', '0090016900_03072022011662']
Stack 7 with items: ['0090016900_03072022007806', '0090016900_03072022007806']
Stack 8 with items: ['0090016900_03072022007806', '0090016900_03072022007806']
Stack 9 with items: ['0090016900_03072022007806', '0090016900_03072022007806']
Stack 10 with items: ['0090016900_03072022007806', '0090016900_03072022007806']
Stack 11 with items: ['0090016900_03072022007806', '0090016900_03072022007806']
Stack 12 with items: ['0090016900_03072022007806', '0090016900_03072022007806']
Stack 13 with items: ['0090016900_03072022007806', '0090016900_03072022007806']
Stack 14 with items: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 15 with items: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 16 with items: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 17 with items: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 18 with items: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 19 with items: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 20 with items: ['0090016900_03072022005878', '0090016900_03072022005878']
Stack 21 with items: ['0090016900_03072022005878', '0090016900_03072022004499']
Stack 22 with items: ['0090016900_03072022004499', '0090016900_03072022004499']
Stack 23 with items: ['0090016900_03072022004499', '0090016900_03072022004499']
Stack 24 with items: ['0090016900_03072022004499', '0090016900_03072022004499']
Stack 25 with items: ['0090016900_03072022004499', '0090016900_03072022004499']
Stack 26 with items: ['0090016900_03072022004499', '0090016900_03072022004499']
Stack 27 with items: ['0090016900_03072022004499', '0090016900_03072022004499']
Stack 28 with items: ['0090016900_03072022004499', '0090016900_03072022004499']
Stack 29 with items: ['0090016900_03072022003412', '0090016900_03072022003412']
Stack 30 with items: ['0090016900_03072022002926', '0090016900_03072022002926']
Stack 31 with items: ['0090016900_03072022001938', '0090016900_03072022001938']
Stack 32 with items: ['0090016900_03072022001938', '0090016900_03072022001938']
Stack 33 with items: ['0090016900_03072022001938', '0090016900_03072022001938']
Stack 34 with items: ['0090016900_03072022001938', '0090016900_03072022001938']
Stack 35 with items: ['0090016900_03072022001938', '0090016900_03072022001857']
Stack 36 with items: ['0090016900_03072022001857', '0090016900_03072022001857']
Stack 37 with items: ['0090016900_03072022001857', '0090016900_03072022001857']
Stack 38 with items: ['0090016900_03072022001857', '0090016900_03072022001857']
Stack 39 with items: ['0090016900_03072022001857', '0090016900_03072022001857']
Stack 40 with items: ['0090016900_03072022001857', '0090016900_03072022001857']
Stack 41 with items: ['0090016900_03072022001857', '0090016900_03072022001857']
Stack 42 with items: ['0090016900_03072022001857', '0090016900_03072022001857']
Stacks not packed:
Stack 0 missing: ['0090016900_03072022014075', '0090016900_03072022014075']
Stack 1 missing: ['0090016900_03072022014075', '0090016900_03072022011662']
Stack 2 missing: ['0090016900_03072022011662', '0090016900_03072022011662']
Stack 3 missing: ['0090016900_03072022011662', '0090016900_03072022011662']
Stack 4 missing: ['0090016900_03072022011662', '0090016900_03072022011662']
Stack 5 missing: ['0090016900_03072022011662', '0090016900_03072022011662']
Stack 6 missing: ['0090016900_03072022011662', '0090016900_03072022011662']
Stack 14 missing: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 15 missing: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 16 missing: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 17 missing: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 18 missing: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 19 missing: ['0090016900_03072022006660', '0090016900_03072022006660']
Stack 20 missing: ['0090016900_03072022005878', '0090016900_03072022005878']
Stack 21 missing: ['0090016900_03072022005878', '0090016900_03072022004499']
Stack 29 missing: ['0090016900_03072022003412', '0090016900_03072022003412']
Stack 30 missing: ['0090016900_03072022002926', '0090016900_03072022002926']
