dataset: C
instance: SA
+-----------+
2D Packing Heuristic in Truck P072151101
Min2DVol: 31.82400000000001 [m2]
Stack 0 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 1 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 2 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 3 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 4 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 5 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 6 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 7 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 8 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 9 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 10 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 11 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 12 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 13 with items: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 14 with items: ['0090017100_27022023023729', '0090017100_27022023023729', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 15 with items: ['0090017100_27022023023729', '0090017100_27022023023729', '0090017100_27022023023729', '0090017100_27022023023729']
Stacks not packed:
Stack 12 missing: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 13 missing: ['0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 14 missing: ['0090017100_27022023023729', '0090017100_27022023023729', '0090017100_27022023025734', '0090017100_27022023025734']
Stack 15 missing: ['0090017100_27022023023729', '0090017100_27022023023729', '0090017100_27022023023729', '0090017100_27022023023729']
