dataset: X
instance: SA5
+-----------+
2D Packing Heuristic in Truck P173055207
Min2DVol: 28.908359999999988 [m2]
Stack 0 with items: ['0090017100_14062023002074', '0090017100_14062023023961']
Stack 1 with items: ['0090017100_14062023002074', '0090017100_14062023002074']
Stack 2 with items: ['0090017100_14062023002074', '0090017100_14062023002074']
Stack 3 with items: ['0090017100_14062023009759', '0090017100_14062023016030']
Stack 4 with items: ['0090017100_14062023009054', '0090017100_14062023010007']
Stack 5 with items: ['0090017100_14062023015030', '0090017100_14062023015030']
Stack 6 with items: ['0090017100_14062023020844', '0090017100_14062023020844', '0090017100_14062023020844']
Stack 7 with items: ['0090017100_14062023020844', '0090017100_14062023020844', '0090017100_14062023020844']
Stack 8 with items: ['0090017100_14062023020844', '0090017100_14062023016074', '0090017100_14062023020844']
Stack 9 with items: ['0090017100_14062023016074', '0090017100_14062023014388', '0090017100_14062023014388']
Stack 10 with items: ['0090017100_14062023014388', '0090017100_14062023014023', '0090017100_14062023014388']
Stack 11 with items: ['0090017100_14062023014023', '0090017100_14062023014023', '0090017100_14062023014023']
Stack 12 with items: ['0090017100_14062023014023', '0090017100_14062023014023', '0090017100_14062023014023']
Stack 13 with items: ['0090017100_14062023014023', '0090017100_14062023014023', '0090017100_14062023014023']
Stack 14 with items: ['0090017100_14062023014023', '0090017100_14062023014023', '0090017100_14062023014023']
Stack 15 with items: ['0090017100_14062023014023', '0090017100_14062023014023', '0090017100_14062023014023']
Stack 16 with items: ['0090017100_14062023014023', '0090017100_14062023014023', '0090017100_14062023014023']
Stack 17 with items: ['0090017100_14062023011010', '0090017100_14062023010411', '0090017100_14062023010411']
Stack 18 with items: ['0090017100_14062023010411', '0090017100_14062023010411', '0090017100_14062023010411']
Stack 19 with items: ['0090017100_14062023010411', '0090017100_14062023010411', '0090017100_14062023010411']
Stack 20 with items: ['0090017100_14062023010411', '0090017100_14062023008935', '0090017100_14062023008935']
Stack 21 with items: ['0090017100_14062023008935', '0090017100_14062023008935', '0090017100_14062023008935']
Stack 22 with items: ['0090017100_14062023008935', '0090017100_14062023008935', '0090017100_14062023008935']
Stack 23 with items: ['0090017100_14062023008935', '0090017100_14062023002606', '0090017100_14062023008935']
Heuristic packed all stacks
