dataset: X
instance: RM5
+-----------+
2D Packing Heuristic in Truck P192394901
Min2DVol: 28.015380000000007 [m2]
Stack 0 with items: ['0090038200_14062023022515', '0090038200_14062023010340', '0090038200_14062023022515']
Stack 1 with items: ['0090038200_14062023022515', '0090038200_14062023006737', '0090038200_14062023022515']
Stack 2 with items: ['0090038200_14062023022515', '0090038200_14062023006737', '0090038200_14062023022515']
Stack 3 with items: ['0090038200_14062023022515', '0090038200_14062023022515']
Stack 4 with items: ['0090038200_14062023022471', '0090038200_14062023020646']
Stack 5 with items: ['0090038200_14062023020646', '0090038200_14062023020646']
Stack 6 with items: ['0090038200_14062023020646', '0090038200_14062023020646']
Stack 7 with items: ['0090038200_14062023020646', '0090038200_14062023020646']
Stack 8 with items: ['0090038200_14062023017432', '0090038200_14062023017432']
Stack 9 with items: ['0090038200_14062023017432', '0090038200_14062023017432']
Stack 10 with items: ['0090038200_14062023017432', '0090038200_14062023017432']
Stack 11 with items: ['0090038200_14062023016481', '0090038200_14062023016481']
Stack 12 with items: ['0090038200_14062023016481', '0090038200_14062023016481']
Stack 13 with items: ['0090038200_14062023016481', '0090038200_14062023016481']
Stack 14 with items: ['0090038200_14062023016022', '0090038200_14062023016022']
Stack 15 with items: ['0090038200_14062023016022', '0090038200_14062023016022']
Stack 16 with items: ['0090038200_14062023016022', '0090038200_14062023016022']
Stack 17 with items: ['0090038200_14062023016022', '0090038200_14062023010166']
Stack 18 with items: ['0090038200_14062023010166', '0090038200_14062023010166']
Stack 19 with items: ['0090038200_14062023010166', '0090038200_14062023010166']
Stack 20 with items: ['0090038200_14062023010166', '0090038200_14062023010166']
Stack 21 with items: ['0090038200_14062023010166', '0090038200_14062023007525']
Stack 22 with items: ['0090038200_14062023003035']
Heuristic packed all stacks
