dataset: X
instance: SA2
+-----------+
2D Packing Heuristic in Truck P177056201
Min2DVol: 31.272239999999986 [m2]
Stack 0 with items: ['0090017100_08062023008547', '0090017100_08062023023510']
Stack 1 with items: ['0090017100_08062023008547', '0090017100_08062023023510']
Stack 2 with items: ['0090017100_08062023008547', '0090017100_08062023028298']
Stack 3 with items: ['0090017100_08062023028298', '0090017100_08062023028298']
Stack 4 with items: ['0090017100_08062023024395', '0090017100_08062023024395', '0090017100_08062023024395']
Stack 5 with items: ['0090017100_08062023024395', '0090017100_08062023024395', '0090017100_08062023024395']
Stack 6 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 7 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 8 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 9 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 10 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 11 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 12 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 13 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 14 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 15 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 16 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 17 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 18 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 19 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 20 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 21 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 22 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 23 with items: ['0090017100_08062023023874', '0090017100_08062023023874', '0090017100_08062023023874']
Stack 24 with items: ['0090017100_08062023023224', '0090017100_08062023023224', '0090017100_08062023023224']
Stack 25 with items: ['0090017100_08062023023224', '0090017100_08062023023224', '0090017100_08062023023224']
Heuristic packed all stacks
