dataset: X
instance: TR
+-----------+
2D Packing Heuristic in Truck P188421805
Min2DVol: 31.308359999999986 [m2]
Stack 0 with items: ['0090017000_08062023003100', '0090017000_08062023018763']
Stack 1 with items: ['0090017000_08062023026466', '0090017000_08062023005245']
Stack 2 with items: ['0090017000_08062023036323', '0090017000_08062023003100']
Stack 3 with items: ['0090017000_08062023035597', '0090017000_08062023035763']
Stack 4 with items: ['0090017000_08062023036323', '0090017000_08062023018763']
Stack 5 with items: ['0090017000_08062023005245', '0090017000_08062023035763']
Stack 6 with items: ['0090017000_08062023041222', '0090017000_08062023041222', '0090017000_08062023041222']
Stack 7 with items: ['0090017000_08062023041222', '0090017000_08062023041222', '0090017000_08062023041222']
Stack 8 with items: ['0090017000_08062023041222', '0090017000_08062023041222', '0090017000_08062023041222']
Stack 9 with items: ['0090017000_08062023041222', '0090017000_08062023041222', '0090017000_08062023041222']
Stack 10 with items: ['0090017000_08062023041222', '0090017000_08062023041222', '0090017000_08062023041222']
Stack 11 with items: ['0090017000_08062023041222', '0090017000_08062023041222', '0090017000_08062023041222']
Stack 12 with items: ['0090017000_08062023033238', '0090017000_08062023033238', '0090017000_08062023033238']
Stack 13 with items: ['0090017000_08062023033238', '0090017000_08062023033238', '0090017000_08062023033238']
Stack 14 with items: ['0090017000_08062023033238', '0090017000_08062023033238', '0090017000_08062023033238']
Stack 15 with items: ['0090017000_08062023033238', '0090017000_08062023033238', '0090017000_08062023033238']
Stack 16 with items: ['0090017000_08062023033238', '0090017000_08062023032597', '0090017000_08062023033238']
Stack 17 with items: ['0090017000_08062023032597', '0090017000_08062023028996', '0090017000_08062023028996']
Stack 18 with items: ['0090017000_08062023028996', '0090017000_08062023028996', '0090017000_08062023028996']
Stack 19 with items: ['0090017000_08062023028996', '0090017000_08062023027090', '0090017000_08062023028996']
Stack 20 with items: ['0090017000_08062023018112', '0090017000_08062023018112', '0090017000_08062023018112']
Stack 21 with items: ['0090017000_08062023018112', '0090017000_08062023018112', '0090017000_08062023018112']
Stack 22 with items: ['0090017000_08062023010200', '0090017000_08062023010200', '0090017000_08062023010200']
Stack 23 with items: ['0090017000_08062023010200', '0090017000_08062023010200', '0090017000_08062023010200']
Stack 24 with items: ['0090017000_08062023010200', '0090017000_08062023010200', '0090017000_08062023010200']
Stack 25 with items: ['0090017000_08062023010200', '0090017000_08062023009847', '0090017000_08062023010200']
Heuristic packed all stacks
