dataset: X
instance: SA5
+-----------+
2D Packing Heuristic in Truck P237053509
Min2DVol: 30.348359999999992 [m2]
Stack 0 with items: ['0090017100_14062023025135', '0090017100_14062023025135']
Stack 1 with items: ['0090017100_14062023025135', '0090017100_14062023025135']
Stack 2 with items: ['0090017100_14062023000123', '0090017100_14062023025135']
Stack 3 with items: ['0090017100_14062023000123', '0090017100_14062023000123']
Stack 4 with items: ['0090017100_14062023000123', '0090017100_14062023000123']
Stack 5 with items: ['0090017100_14062023000123', '0090017100_14062023000123']
Stack 6 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 7 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 8 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 9 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 10 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 11 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 12 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 13 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 14 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 15 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 16 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 17 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 18 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 19 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 20 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 21 with items: ['0090017100_14062023005664', '0090017100_14062023005664', '0090017100_14062023005664']
Stack 22 with items: ['0090017100_14062023008922', '0090017100_14062023008922', '0090017100_14062023008922']
Stack 23 with items: ['0090017100_14062023008922', '0090017100_14062023008922', '0090017100_14062023008922']
Heuristic packed all stacks
