dataset: C
instance: TR
+-----------+
2D Packing Heuristic in Truck P091421705
Min2DVol: 29.879999999999995 [m2]
Stack 0 with items: ['0090017000_27022023014410', '0090017000_27022023014410', '0090017000_27022023015603']
Stack 1 with items: ['0090017000_27022023014410', '0090017000_27022023014410', '0090017000_27022023014410']
Stack 2 with items: ['0090017000_27022023023855', '0090017000_27022023023855']
Stack 3 with items: ['0090017000_27022023023855', '0090017000_27022023023855']
Stack 4 with items: ['0090017000_27022023023855', '0090017000_27022023023855']
Stack 5 with items: ['0090017000_27022023017161', '0090017000_27022023016385']
Stack 6 with items: ['0090017000_27022023016385', '0090017000_27022023016385']
Stack 7 with items: ['0090017000_27022023016385', '0090017000_27022023016385']
Stack 8 with items: ['0090017000_27022023016385', '0090017000_27022023016385']
Stack 9 with items: ['0090017000_27022023016385', '0090017000_27022023016385']
Stack 10 with items: ['0090017000_27022023016385', '0090017000_27022023016385']
Stack 11 with items: ['0090017000_27022023016385', '0090017000_27022023016385']
Stack 12 with items: ['0090017000_27022023016385', '0090017000_27022023016385']
Stack 13 with items: ['0090017000_27022023016385', '0090017000_27022023016385']
Stack 14 with items: ['0090017000_27022023016385', '0090017000_27022023016385']
Stack 15 with items: ['0090017000_27022023016385', '0090017000_27022023016385']
Heuristic packed all stacks
