dataset: X
instance: MT3
+-----------+
2D Packing Heuristic in Truck P170512301
Min2DVol: 32.1798 [m2]
Stack 0 with items: ['0091017700_08062023000147', '0091017700_08062023000147']
Stack 1 with items: ['0091017700_08062023005844', '0091017700_08062023003940']
Stack 2 with items: ['0091017700_08062023005470', '0091017700_08062023005470']
Stack 3 with items: ['0091017700_08062023005844']
Stack 4 with items: ['0091017700_08062023003940', '0091017700_08062023003940']
Stack 5 with items: ['0091017700_08062023003362', '0091017700_08062023002427']
Stack 6 with items: ['0091017700_08062023002427', '0091017700_08062023002427']
Stack 7 with items: ['0091017700_08062023003362', '0091017700_08062023003362']
Stack 8 with items: ['0091017700_08062023002427', '0091017700_08062023002427']
Stack 9 with items: ['0091017700_08062023002427', '0091017700_08062023002427']
Stack 10 with items: ['0091017700_08062023002427', '0091017700_08062023002427']
Stack 11 with items: ['0091017700_08062023002427', '0091017700_08062023002427']
Stack 12 with items: ['0091017700_08062023004846', '0091017700_08062023004846', '0091017700_08062023004846']
Stack 13 with items: ['0091017700_08062023004846', '0091017700_08062023004846', '0091017700_08062023004846']
Stack 14 with items: ['0091017700_08062023004846', '0091017700_08062023004846', '0091017700_08062023004846']
Stack 15 with items: ['0091017700_08062023004846', '0091017700_08062023004846', '0091017700_08062023004846']
Stack 16 with items: ['0091017700_08062023004846', '0091017700_08062023004846', '0091017700_08062023004846']
Stack 17 with items: ['0091017700_08062023004846', '0091017700_08062023004846', '0091017700_08062023004846']
Stack 18 with items: ['0091017700_08062023004846', '0091017700_08062023004846', '0091017700_08062023004846']
Stack 19 with items: ['0091017700_08062023004069', '0091017700_08062023004069', '0091017700_08062023004069']
Stack 20 with items: ['0091017700_08062023004069', '0091017700_08062023004069', '0091017700_08062023004069']
Stack 21 with items: ['0091017700_08062023004069', '0091017700_08062023004069', '0091017700_08062023004069']
Stack 22 with items: ['0091017700_08062023004069', '0091017700_08062023003481', '0091017700_08062023003481']
Stack 23 with items: ['0091017700_08062023003481', '0091017700_08062023003481', '0091017700_08062023003481']
Stack 24 with items: ['0091017700_08062023003481', '0091017700_08062023003481', '0091017700_08062023003481']
Stack 25 with items: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
Stack 26 with items: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
Stack 27 with items: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
Stack 28 with items: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
Stack 29 with items: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
Stack 30 with items: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
Stack 31 with items: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
Stack 32 with items: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
Stack 33 with items: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
Stack 34 with items: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
Stacks not packed:
Stack 34 missing: ['0091017700_08062023004603', '0091017700_08062023004603', '0091017700_08062023004603']
