dataset: C
instance: BY
+-----------+
2D Packing Heuristic in Truck P090069107
Min2DVol: 28.799999999999994 [m2]
Stack 0 with items: ['0090016900_27022023045952', '0090016900_27022023045952']
Stack 1 with items: ['0090016900_27022023045952', '0090016900_27022023045952']
Stack 2 with items: ['0090016900_27022023045952', '0090016900_27022023045952']
Stack 3 with items: ['0090016900_27022023044711', '0090016900_27022023044711']
Stack 4 with items: ['0090016900_27022023044711', '0090016900_27022023044711']
Stack 5 with items: ['0090016900_27022023044711', '0090016900_27022023044711']
Stack 6 with items: ['0090016900_27022023044711', '0090016900_27022023044711']
Stack 7 with items: ['0090016900_27022023027420', '0090016900_27022023027420']
Stack 8 with items: ['0090016900_27022023002435', '0090016900_27022023002435']
Stack 9 with items: ['0090016900_27022023002435', '0090016900_27022023002435']
Stack 10 with items: ['0090016900_27022023002435', '0090016900_27022023002435']
Stack 11 with items: ['0090016900_27022023002435', '0090016900_27022023002435']
Heuristic packed all stacks
