dataset: C
instance: VA3
+-----------+
2D Packing Heuristic in Truck P095651601
Min2DVol: 35.251500000000014 [m2]
Stack 0 with items: ['0091017300_28022023008793', '0091017300_28022023008793', '0091017300_28022023008793']
Stack 1 with items: ['0091017300_28022023008793', '0091017300_28022023008793', '0091017300_28022023008793']
Stack 2 with items: ['0091017300_28022023008793', '0091017300_28022023001935', '0091017300_28022023018907']
Stack 3 with items: ['0091017300_28022023001935', '0091017300_28022023010421', '0091017300_28022023018907']
Stack 4 with items: ['0091017300_28022023023476', '0091017300_28022023023476']
Stack 5 with items: ['0091017300_28022023023476', '0091017300_28022023023476']
Stack 6 with items: ['0091017300_28022023020815', '0091017300_28022023020815']
Stack 7 with items: ['0091017300_28022023016309', '0091017300_28022023016309']
Stack 8 with items: ['0091017300_28022023016309', '0091017300_28022023016309']
Stack 9 with items: ['0091017300_28022023016309', '0091017300_28022023016309']
Stack 10 with items: ['0091017300_28022023016309', '0091017300_28022023010922']
Stack 11 with items: ['0091017300_28022023010922', '0091017300_28022023010922']
Stack 12 with items: ['0091017300_28022023010922', '0091017300_28022023010922']
Stack 13 with items: ['0091017300_28022023010922', '0091017300_28022023010922']
Stack 14 with items: ['0091017300_28022023010922', '0091017300_28022023009031']
Stack 15 with items: ['0091017300_28022023003864']
Stack 16 with items: ['0091017300_28022023006819', '0091017300_28022023004166']
Stack 17 with items: ['0091017300_28022023008297', '0091017300_28022023008297']
Stack 18 with items: ['0091017300_28022023004166', '0091017300_28022023004166']
Stack 19 with items: ['0091017300_28022023008297', '0091017300_28022023008297']
Stack 20 with items: ['0091017300_28022023008297', '0091017300_28022023008297']
Stack 21 with items: ['0091017300_28022023006819', '0091017300_28022023006819']
Stack 22 with items: ['0091017300_28022023022878', '0091017300_28022023006819']
Stack 23 with items: ['0091017300_28022023006819', '0091017300_28022023006819']
Stack 24 with items: ['0091017300_28022023022878', '0091017300_28022023008297']
Stack 25 with items: ['0091017300_28022023021225', '0091017300_28022023004166']
Stack 26 with items: ['0091017300_28022023022878', '0091017300_28022023008297']
Stack 27 with items: ['0091017300_28022023021225', '0091017300_28022023021225']
Stack 28 with items: ['0091017300_28022023006619', '0091017300_28022023014500']
Stacks not packed:
Stack 21 missing: ['0091017300_28022023006819', '0091017300_28022023006819']
Stack 23 missing: ['0091017300_28022023006819', '0091017300_28022023006819']
Stack 27 missing: ['0091017300_28022023021225', '0091017300_28022023021225']
