dataset: C
instance: BY2
+-----------+
2D Packing Heuristic in Truck P077062001
Min2DVol: 30.720000000000013 [m2]
Stack 0 with items: ['0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287']
Stack 1 with items: ['0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287']
Stack 2 with items: ['0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287']
Stack 3 with items: ['0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287']
Stack 4 with items: ['0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287']
Stack 5 with items: ['0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287']
Stack 6 with items: ['0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287']
Stack 7 with items: ['0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287', '0090016900_28022023025287']
Stack 8 with items: ['0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833']
Stack 9 with items: ['0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833']
Stack 10 with items: ['0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833']
Stack 11 with items: ['0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833']
Stack 12 with items: ['0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833']
Stack 13 with items: ['0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833']
Stack 14 with items: ['0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833']
Stack 15 with items: ['0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833', '0090016900_28022023010833']
Heuristic packed all stacks
