dataset: C
instance: CI
+-----------+
2D Packing Heuristic in Truck P095883705
Min2DVol: 32.17806000000001 [m2]
Stack 0 with items: ['0090016800_27022023003125', '0090016800_27022023003125']
Stack 1 with items: ['0090016800_27022023027055', '0090016800_27022023027055', '0090016800_27022023027055']
Stack 2 with items: ['0090016800_27022023027055', '0090016800_27022023027055', '0090016800_27022023027055']
Stack 3 with items: ['0090016800_27022023027055', '0090016800_27022023027055', '0090016800_27022023027055']
Stack 4 with items: ['0090016800_27022023027055', '0090016800_27022023027055', '0090016800_27022023027055']
Stack 5 with items: ['0090016800_27022023027055', '0090016800_27022023027055', '0090016800_27022023027055']
Stack 6 with items: ['0090016800_27022023027055', '0090016800_27022023027055', '0090016800_27022023027055']
Stack 7 with items: ['0090016800_27022023027055', '0090016800_27022023026698', '0090016800_27022023027055']
Stack 8 with items: ['0090016800_27022023025176', '0090016800_27022023025176', '0090016800_27022023025176']
Stack 9 with items: ['0090016800_27022023025176', '0090016800_27022023025176', '0090016800_27022023025176']
Stack 10 with items: ['0090016800_27022023025176', '0090016800_27022023025176', '0090016800_27022023025176']
Stack 11 with items: ['0090016800_27022023025176', '0090016800_27022023019687', '0090016800_27022023025176']
Stack 12 with items: ['0090016800_27022023007428', '0090016800_27022023007428', '0090016800_27022023007428']
Stack 13 with items: ['0090016800_27022023007428', '0090016800_27022023007428', '0090016800_27022023007428']
Stack 14 with items: ['0090016800_27022023028879', '0090016800_27022023028879', '0090016800_27022023028879']
Stack 15 with items: ['0090016800_27022023028879', '0090016800_27022023028879', '0090016800_27022023028879']
Stack 16 with items: ['0090016800_27022023028879', '0090016800_27022023017060', '0090016800_27022023017060']
Stack 17 with items: ['0090016800_27022023026752', '0090016800_27022023026752', '0090016800_27022023026752']
Stack 18 with items: ['0090016800_27022023028244', '0090016800_27022023028244', '0090016800_27022023028879']
Stack 19 with items: ['0090016800_27022023026752', '0090016800_27022023026752', '0090016800_27022023028879']
Stack 20 with items: ['0090016800_27022023026752', '0090016800_27022023026752', '0090016800_27022023026752']
Stack 21 with items: ['0090016800_27022023028879', '0090016800_27022023028879', '0090016800_27022023028879']
Heuristic packed all stacks
