dataset: X
instance: TR3
+-----------+
2D Packing Heuristic in Truck P207420401
Min2DVol: 31.272239999999986 [m2]
Stack 0 with items: ['0090017000_08062023014705', '0090017000_08062023014705']
Stack 1 with items: ['0090017000_08062023003076', '0090017000_08062023003076']
Stack 2 with items: ['0090017000_08062023003076', '0090017000_08062023003076']
Stack 3 with items: ['0090017000_08062023014705', '0090017000_08062023014705']
Stack 4 with items: ['0090017000_08062023038743', '0090017000_08062023038743', '0090017000_08062023038743']
Stack 5 with items: ['0090017000_08062023038743', '0090017000_08062023038743', '0090017000_08062023038743']
Stack 6 with items: ['0090017000_08062023025749', '0090017000_08062023025749', '0090017000_08062023025749']
Stack 7 with items: ['0090017000_08062023025749', '0090017000_08062023025749', '0090017000_08062023025749']
Stack 8 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 9 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 10 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 11 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 12 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 13 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 14 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 15 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 16 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 17 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 18 with items: ['0090017000_08062023016045', '0090017000_08062023016045', '0090017000_08062023016045']
Stack 19 with items: ['0090017000_08062023008941', '0090017000_08062023008941', '0090017000_08062023008941']
Stack 20 with items: ['0090017000_08062023008941', '0090017000_08062023008941', '0090017000_08062023008941']
Stack 21 with items: ['0090017000_08062023008941', '0090017000_08062023008941', '0090017000_08062023008941']
Stack 22 with items: ['0090017000_08062023008941', '0090017000_08062023008941', '0090017000_08062023008941']
Stack 23 with items: ['0090017000_08062023008941', '0090017000_08062023008941', '0090017000_08062023008941']
Stack 24 with items: ['0090017000_08062023008941', '0090017000_08062023008941', '0090017000_08062023008941']
Stack 25 with items: ['0090017000_08062023008941', '0090017000_08062023008941', '0090017000_08062023008941']
Heuristic packed all stacks
