dataset: X
instance: BY6
+-----------+
2D Packing Heuristic in Truck P173069111
Min2DVol: 31.679999999999993 [m2]
Stack 0 with items: ['0090016900_14062023022129']
Stack 1 with items: ['0090016900_14062023004247']
Stack 2 with items: ['0090016900_14062023042552', '0090016900_14062023042552']
Stack 3 with items: ['0090016900_14062023042552', '0090016900_14062023039222']
Stack 4 with items: ['0090016900_14062023039222', '0090016900_14062023039222']
Stack 5 with items: ['0090016900_14062023039222', '0090016900_14062023039222']
Stack 6 with items: ['0090016900_14062023039222', '0090016900_14062023036191']
Stack 7 with items: ['0090016900_14062023036191', '0090016900_14062023032486']
Stack 8 with items: ['0090016900_14062023032486', '0090016900_14062023032486']
Stack 9 with items: ['0090016900_14062023032486', '0090016900_14062023032486']
Stack 10 with items: ['0090016900_14062023032486', '0090016900_14062023032486']
Stack 11 with items: ['0090016900_14062023024742', '0090016900_14062023024742']
Stack 12 with items: ['0090016900_14062023024742', '0090016900_14062023024742']
Stack 13 with items: ['0090016900_14062023024742', '0090016900_14062023024742']
Heuristic packed all stacks
