dataset: X
instance: BY3
+-----------+
2D Packing Heuristic in Truck P207061909
Min2DVol: 28.749000000000017 [m2]
Stack 0 with items: ['0090016900_08062023000679', '0090016900_08062023022961']
Stack 1 with items: ['0090016900_08062023005386', '0090016900_08062023005386']
Stack 2 with items: ['0090016900_08062023031115', '0090016900_08062023003495']
Stack 3 with items: ['0090016900_08062023022961', '0090016900_08062023034100']
Stack 4 with items: ['0090016900_08062023003495', '0090016900_08062023034100']
Stack 5 with items: ['0090016900_08062023003495', '0090016900_08062023034100']
Stack 6 with items: ['0090016900_08062023034100', '0090016900_08062023034100']
Stack 7 with items: ['0090016900_08062023033422', '0090016900_08062023033422', '0090016900_08062023033422']
Stack 8 with items: ['0090016900_08062023022338', '0090016900_08062023022338', '0090016900_08062023022338']
Stack 9 with items: ['0090016900_08062023033422', '0090016900_08062023033422', '0090016900_08062023033422']
Stack 10 with items: ['0090016900_08062023033422', '0090016900_08062023033422', '0090016900_08062023033422']
Stack 11 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 12 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 13 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 14 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 15 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 16 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 17 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 18 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 19 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 20 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 21 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 22 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 23 with items: ['0090016900_08062023035682', '0090016900_08062023035682', '0090016900_08062023035682']
Stack 24 with items: ['0090016900_08062023035682', '0090016900_08062023035443', '0090016900_08062023035443']
Stack 25 with items: ['0090016900_08062023035443', '0090016900_08062023031319', '0090016900_08062023026364']
Heuristic packed all stacks
