dataset: X
instance: TA5
+-----------+
2D Packing Heuristic in Truck P199382401
Min2DVol: 31.23611999999999 [m2]
Stack 0 with items: ['0090038300_14062023003234', '0090038300_14062023001164']
Stack 1 with items: ['0090038300_14062023004476', '0090038300_14062023004859']
Stack 2 with items: ['0090038300_14062023011755', '0090038300_14062023011695', '0090038300_14062023011695']
Stack 3 with items: ['0090038300_14062023011501', '0090038300_14062023011501', '0090038300_14062023011501']
Stack 4 with items: ['0090038300_14062023011501', '0090038300_14062023011055', '0090038300_14062023011055']
Stack 5 with items: ['0090038300_14062023011055', '0090038300_14062023010356', '0090038300_14062023011055']
Stack 6 with items: ['0090038300_14062023010356', '0090038300_14062023009715', '0090038300_14062023009715']
Stack 7 with items: ['0090038300_14062023009267', '0090038300_14062023009267', '0090038300_14062023009267']
Stack 8 with items: ['0090038300_14062023009267', '0090038300_14062023009267', '0090038300_14062023009267']
Stack 9 with items: ['0090038300_14062023009267', '0090038300_14062023009014', '0090038300_14062023009267']
Stack 10 with items: ['0090038300_14062023009014', '0090038300_14062023007781', '0090038300_14062023009014']
Stack 11 with items: ['0090038300_14062023007781', '0090038300_14062023007753', '0090038300_14062023007781']
Stack 12 with items: ['0090038300_14062023007753', '0090038300_14062023007753', '0090038300_14062023007753']
Stack 13 with items: ['0090038300_14062023007753', '0090038300_14062023007753', '0090038300_14062023007753']
Stack 14 with items: ['0090038300_14062023006972', '0090038300_14062023006741', '0090038300_14062023006044']
Stack 15 with items: ['0090038300_14062023006044', '0090038300_14062023006044', '0090038300_14062023006044']
Stack 16 with items: ['0090038300_14062023006044', '0090038300_14062023006044', '0090038300_14062023006044']
Stack 17 with items: ['0090038300_14062023006044', '0090038300_14062023005214', '0090038300_14062023006044']
Stack 18 with items: ['0090038300_14062023005214', '0090038300_14062023004671', '0090038300_14062023005214']
Stack 19 with items: ['0090038300_14062023004671', '0090038300_14062023004671', '0090038300_14062023004671']
Stack 20 with items: ['0090038300_14062023004671', '0090038300_14062023004671', '0090038300_14062023004671']
Stack 21 with items: ['0090038300_14062023004671', '0090038300_14062023003945', '0090038300_14062023004671']
Stack 22 with items: ['0090038300_14062023003411', '0090038300_14062023003411', '0090038300_14062023003411']
Stack 23 with items: ['0090038300_14062023003411', '0090038300_14062023003333', '0090038300_14062023003411']
Stack 24 with items: ['0090038300_14062023003179', '0090038300_14062023002865', '0090038300_14062023002865']
Stack 25 with items: ['0090038300_14062023002865', '0090038300_14062023002865', '0090038300_14062023002865']
Heuristic packed all stacks
