dataset: C
instance: SA
+-----------+
2D Packing Heuristic in Truck P081050615
Min2DVol: 31.488960000000013 [m2]
Stack 0 with items: ['0090017100_27022023034270', '0090017100_27022023034270', '0090017100_27022023034270']
Stack 1 with items: ['0090017100_27022023034270', '0090017100_27022023034270', '0090017100_27022023034270']
Stack 2 with items: ['0090017100_27022023034270', '0090017100_27022023031797', '0090017100_27022023034270']
Stack 3 with items: ['0090017100_27022023031797', '0090017100_27022023031797', '0090017100_27022023031797']
Stack 4 with items: ['0090017100_27022023034270', '0090017100_27022023034270', '0090017100_27022023034270']
Stack 5 with items: ['0090017100_27022023027651', '0090017100_27022023027651', '0090017100_27022023027651']
Stack 6 with items: ['0090017100_27022023000472', '0090017100_27022023000472', '0090017100_27022023000472']
Stack 7 with items: ['0090017100_27022023010222', '0090017100_27022023010222', '0090017100_27022023010222']
Stack 8 with items: ['0090017100_27022023027316', '0090017100_27022023029853', '0090017100_27022023031742']
Stack 9 with items: ['0090017100_27022023027651', '0090017100_27022023027651', '0090017100_27022023027651']
Stack 10 with items: ['0090017100_27022023035153', '0090017100_27022023035153']
Stack 11 with items: ['0090017100_27022023035153', '0090017100_27022023035153']
Stack 12 with items: ['0090017100_27022023030870', '0090017100_27022023030870']
Stack 13 with items: ['0090017100_27022023030870', '0090017100_27022023030870']
Stack 14 with items: ['0090017100_27022023028951', '0090017100_27022023028951']
Stack 15 with items: ['0090017100_27022023028951', '0090017100_27022023028951']
Stack 16 with items: ['0090017100_27022023028951', '0090017100_27022023028951']
Stack 17 with items: ['0090017100_27022023027092', '0090017100_27022023027092']
Stack 18 with items: ['0090017100_27022023027092', '0090017100_27022023027092']
Stack 19 with items: ['0090017100_27022023027092', '0090017100_27022023027092']
Stack 20 with items: ['0090017100_27022023016400', '0090017100_27022023016400']
Stack 21 with items: ['0090017100_27022023016400', '0090017100_27022023016400']
Stack 22 with items: ['0090017100_27022023004094', '0090017100_27022023004094']
Stack 23 with items: ['0090017100_27022023004094', '0090017100_27022023004094']
Stack 24 with items: ['0090017100_27022023004094', '0090017100_27022023004094']
Stack 25 with items: ['0090017100_27022023004094', '0090017100_27022023004094']
Heuristic packed all stacks
