dataset: C
instance: AS
+-----------+
2D Packing Heuristic in Truck P107730405
Min2DVol: 37.20000000000001 [m2]
Stack 0 with items: ['0090018000_27022023000465', '0090018000_27022023000465']
Stack 1 with items: ['0090018000_27022023015298', '0090018000_27022023015298', '0090018000_27022023015298']
Stack 2 with items: ['0090018000_27022023015298', '0090018000_27022023015281', '0090018000_27022023015281']
Stack 3 with items: ['0090018000_27022023015281', '0090018000_27022023012333', '0090018000_27022023012333']
Stack 4 with items: ['0090018000_27022023012333', '0090018000_27022023012333', '0090018000_27022023012333']
Stack 5 with items: ['0090018000_27022023012333', '0090018000_27022023012333', '0090018000_27022023012333']
Stack 6 with items: ['0090018000_27022023012333', '0090018000_27022023011151', '0090018000_27022023011151']
Stack 7 with items: ['0090018000_27022023011151', '0090018000_27022023011151', '0090018000_27022023011151']
Stack 8 with items: ['0090018000_27022023011151', '0090018000_27022023011151', '0090018000_27022023011151']
Stack 9 with items: ['0090018000_27022023011151', '0090018000_27022023002333', '0090018000_27022023011151']
Stack 10 with items: ['0090018000_27022023002333', '0090018000_27022023002333', '0090018000_27022023002333']
Stack 11 with items: ['0090018000_27022023002333', '0090018000_27022023002333', '0090018000_27022023002333']
Stack 12 with items: ['0090018000_27022023002333', '0090018000_27022023002333', '0090018000_27022023002333']
Stack 13 with items: ['0090018000_27022023002333', '0090018000_27022023000599', '0090018000_27022023000599']
Stack 14 with items: ['0090018000_27022023000599', '0090018000_27022023000599', '0090018000_27022023000599']
Stack 15 with items: ['0090018000_27022023009295', '0090018000_27022023009179', '0090018000_27022023009179']
Stack 16 with items: ['0090018000_27022023009295', '0090018000_27022023007112', '0090018000_27022023007112']
Stack 17 with items: ['0090018000_27022023009295', '0090018000_27022023009295', '0090018000_27022023009295']
Stack 18 with items: ['0090018000_27022023002871', '0090018000_27022023002871', '0090018000_27022023002871']
Stack 19 with items: ['0090018000_27022023007112', '0090018000_27022023009295', '0090018000_27022023009295']
Stack 20 with items: ['0090018000_27022023009179', '0090018000_27022023009179', '0090018000_27022023009179']
Stack 21 with items: ['0090018000_27022023009295', '0090018000_27022023009295', '0090018000_27022023009295']
Stack 22 with items: ['0090018000_27022023009295', '0090018000_27022023009295', '0090018000_27022023009295']
Stack 23 with items: ['0090018000_27022023002871', '0090018000_27022023007112', '0090018000_27022023007112']
Stack 24 with items: ['0090018000_27022023002871', '0090018000_27022023002871', '0090018000_27022023002871']
Stacks not packed:
Stack 13 missing: ['0090018000_27022023002333', '0090018000_27022023000599', '0090018000_27022023000599']
Stack 14 missing: ['0090018000_27022023000599', '0090018000_27022023000599', '0090018000_27022023000599']
