dataset: C
instance: SA2
+-----------+
2D Packing Heuristic in Truck P087055603
Min2DVol: 31.248000000000008 [m2]
Stack 0 with items: ['0090017100_28022023001149', '0090017100_28022023001149', '0090017100_28022023001149']
Stack 1 with items: ['0090017100_28022023001149', '0090017100_28022023001149', '0090017100_28022023001149']
Stack 2 with items: ['0090017100_28022023001149', '0090017100_28022023001149', '0090017100_28022023001149']
Stack 3 with items: ['0090017100_28022023001149', '0090017100_28022023001149', '0090017100_28022023001149']
Stack 4 with items: ['0090017100_28022023001149', '0090017100_28022023001149', '0090017100_28022023001149']
Stack 5 with items: ['0090017100_28022023001149', '0090017100_28022023001149', '0090017100_28022023001149']
Stack 6 with items: ['0090017100_28022023020950', '0090017100_28022023020950']
Stack 7 with items: ['0090017100_28022023020950', '0090017100_28022023020950']
Stack 8 with items: ['0090017100_28022023020950', '0090017100_28022023020950']
Stack 9 with items: ['0090017100_28022023020950', '0090017100_28022023020950']
Stack 10 with items: ['0090017100_28022023020950', '0090017100_28022023020950']
Stack 11 with items: ['0090017100_28022023020950', '0090017100_28022023020950']
Stack 12 with items: ['0090017100_28022023020950', '0090017100_28022023020950']
Stack 13 with items: ['0090017100_28022023020950', '0090017100_28022023020950']
Stack 14 with items: ['0090017100_28022023020950', '0090017100_28022023020950']
Stack 15 with items: ['0090017100_28022023020950', '0090017100_28022023020950']
Stack 16 with items: ['0090017100_28022023005690', '0090017100_28022023020950']
Stack 17 with items: ['0090017100_28022023005690', '0090017100_28022023005690']
Heuristic packed all stacks
