dataset: X
instance: CI2
+-----------+
2D Packing Heuristic in Truck P173401701
Min2DVol: 31.326419999999985 [m2]
Stack 0 with items: ['0090016800_08062023025479', '0090016800_08062023022646']
Stack 1 with items: ['0090016800_08062023022646', '0090016800_08062023005493']
Stack 2 with items: ['0090016800_08062023041903', '0090016800_08062023001711']
Stack 3 with items: ['0090016800_08062023004586', '0090016800_08062023021238']
Stack 4 with items: ['0090016800_08062023001711', '0090016800_08062023041903']
Stack 5 with items: ['0090016800_08062023025479', '0090016800_08062023025479']
Stack 6 with items: ['0090016800_08062023024834', '0090016800_08062023039605']
Stack 7 with items: ['0090016800_08062023048758', '0090016800_08062023048758', '0090016800_08062023048758']
Stack 8 with items: ['0090016800_08062023046886', '0090016800_08062023043565', '0090016800_08062023043565']
Stack 9 with items: ['0090016800_08062023043565', '0090016800_08062023042216', '0090016800_08062023042216']
Stack 10 with items: ['0090016800_08062023029666', '0090016800_08062023029061', '0090016800_08062023029061']
Stack 11 with items: ['0090016800_08062023029061', '0090016800_08062023029061', '0090016800_08062023029061']
Stack 12 with items: ['0090016800_08062023025038', '0090016800_08062023022928', '0090016800_08062023025038']
Stack 13 with items: ['0090016800_08062023022928', '0090016800_08062023022928', '0090016800_08062023022928']
Stack 14 with items: ['0090016800_08062023022928', '0090016800_08062023019852', '0090016800_08062023019852']
Stack 15 with items: ['0090016800_08062023019852', '0090016800_08062023019852', '0090016800_08062023019852']
Stack 16 with items: ['0090016800_08062023019852', '0090016800_08062023011671', '0090016800_08062023011671']
Stack 17 with items: ['0090016800_08062023011671', '0090016800_08062023011671', '0090016800_08062023011671']
Stack 18 with items: ['0090016800_08062023011671', '0090016800_08062023011671', '0090016800_08062023011671']
Stack 19 with items: ['0090016800_08062023005419', '0090016800_08062023005419', '0090016800_08062023005419']
Stack 20 with items: ['0090016800_08062023005419', '0090016800_08062023005419', '0090016800_08062023005419']
Stack 21 with items: ['0090016800_08062023005103', '0090016800_08062023005100', '0090016800_08062023005100']
Stack 22 with items: ['0090016800_08062023005100', '0090016800_08062023004168', '0090016800_08062023004168']
Stack 23 with items: ['0090016800_08062023004168', '0090016800_08062023004168', '0090016800_08062023004168']
Stack 24 with items: ['0090016800_08062023004168', '0090016800_08062023002991', '0090016800_08062023002991']
Stack 25 with items: ['0090016800_08062023002991', '0090016800_08062023002991', '0090016800_08062023002991']
Heuristic packed all stacks
