dataset: X
instance: SA6
+-----------+
2D Packing Heuristic in Truck P177151201
Min2DVol: 29.16108000000002 [m2]
Stack 0 with items: ['0090017100_14062023023916', '0090017100_14062023018840', '0090017100_14062023002308']
Stack 1 with items: ['0090017100_14062023022994', '0090017100_14062023021065', '0090017100_14062023003461', '0090017100_14062023022994', '0090017100_14062023022994']
Stack 2 with items: ['0090017100_14062023018407', '0090017100_14062023015369', '0090017100_14062023012931']
Stack 3 with items: ['0090017100_14062023013346', '0090017100_14062023012931', '0090017100_14062023010102']
Stack 4 with items: ['0090017100_14062023006425', '0090017100_14062023006425']
Stack 5 with items: ['0090017100_14062023002152', '0090017100_14062023002152']
Stack 6 with items: ['0090017100_14062023002152', '0090017100_14062023002152']
Stack 7 with items: ['0090017100_14062023028394', '0090017100_14062023016707', '0090017100_14062023028394']
Stack 8 with items: ['0090017100_14062023028394', '0090017100_14062023003325', '0090017100_14062023028394']
Stack 9 with items: ['0090017100_14062023003325', '0090017100_14062023003325', '0090017100_14062023003325']
Stack 10 with items: ['0090017100_14062023016707', '0090017100_14062023016707', '0090017100_14062023016707']
Stack 11 with items: ['0090017100_14062023008759']
Stack 12 with items: ['0090017100_14062023004724', '0090017100_14062023015867']
Stack 13 with items: ['0090017100_14062023005053', '0090017100_14062023005200']
Stack 14 with items: ['0090017100_14062023007705', '0090017100_14062023007705', '0090017100_14062023007705']
Stack 15 with items: ['0090017100_14062023007705', '0090017100_14062023007705', '0090017100_14062023007705']
Stack 16 with items: ['0090017100_14062023015349', '0090017100_14062023011720', '0090017100_14062023015349', '0090017100_14062023015349']
Stack 17 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Stack 18 with items: ['0090017100_14062023011720', '0090017100_14062023015349', '0090017100_14062023015349', '0090017100_14062023015349']
Stack 19 with items: ['0090017100_14062023011720', '0090017100_14062023015349', '0090017100_14062023015349', '0090017100_14062023015349']
Stack 20 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Stack 21 with items: ['0090017100_14062023011720', '0090017100_14062023015349', '0090017100_14062023015349', '0090017100_14062023015349']
Stack 22 with items: ['0090017100_14062023015349', '0090017100_14062023015349', '0090017100_14062023015349', '0090017100_14062023015349']
Stack 23 with items: ['0090017100_14062023011720', '0090017100_14062023008796', '0090017100_14062023008796', '0090017100_14062023014226']
Stack 24 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Stack 25 with items: ['0090017100_14062023015349', '0090017100_14062023015349', '0090017100_14062023015349', '0090017100_14062023015349']
Stack 26 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Stack 27 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Stack 28 with items: ['0090017100_14062023015349', '0090017100_14062023011720', '0090017100_14062023015349', '0090017100_14062023015349']
Stack 29 with items: ['0090017100_14062023015349', '0090017100_14062023015349', '0090017100_14062023015349', '0090017100_14062023015349']
Stack 30 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Stack 31 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Stack 32 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Stack 33 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Stack 34 with items: ['0090017100_14062023020356', '0090017100_14062023013939', '0090017100_14062023013939', '0090017100_14062023020356']
Stack 35 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Stack 36 with items: ['0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720', '0090017100_14062023011720']
Heuristic packed all stacks
