dataset: X
instance: AS3
+-----------+
2D Packing Heuristic in Truck P187730401
Min2DVol: 37.20000000000001 [m2]
Stack 0 with items: ['0090018000_08062023013592', '0090018000_08062023010350', '0090018000_08062023010952', '0090018000_08062023003225']
Stack 1 with items: ['0090018000_08062023000347', '0090018000_08062023013214']
Stack 2 with items: ['0090018000_08062023007208', '0090018000_08062023007208', '0090018000_08062023007208']
Stack 3 with items: ['0090018000_08062023007208', '0090018000_08062023007208', '0090018000_08062023007208']
Stack 4 with items: ['0090018000_08062023007235', '0090018000_08062023007235', '0090018000_08062023007235']
Stack 5 with items: ['0090018000_08062023007235', '0090018000_08062023000401', '0090018000_08062023007235']
Stack 6 with items: ['0090018000_08062023007235', '0090018000_08062023007235', '0090018000_08062023007235']
Stack 7 with items: ['0090018000_08062023007235', '0090018000_08062023007235', '0090018000_08062023007235']
Stack 8 with items: ['0090018000_08062023000401', '0090018000_08062023000401', '0090018000_08062023000401']
Stack 9 with items: ['0090018000_08062023007235', '0090018000_08062023007235', '0090018000_08062023007235']
Stack 10 with items: ['0090018000_08062023003786', '0090018000_08062023014026', '0090018000_08062023014026']
Stack 11 with items: ['0090018000_08062023007208', '0090018000_08062023007235', '0090018000_08062023007235']
Stack 12 with items: ['0090018000_08062023011964', '0090018000_08062023011964', '0090018000_08062023011964']
Stack 13 with items: ['0090018000_08062023011964', '0090018000_08062023011964', '0090018000_08062023011964']
Stack 14 with items: ['0090018000_08062023011964', '0090018000_08062023011964', '0090018000_08062023011964']
Stack 15 with items: ['0090018000_08062023009754', '0090018000_08062023009754', '0090018000_08062023009754']
Stack 16 with items: ['0090018000_08062023009754', '0090018000_08062023006354', '0090018000_08062023006354']
Stack 17 with items: ['0090018000_08062023006354', '0090018000_08062023004771', '0090018000_08062023004771']
Stack 18 with items: ['0090018000_08062023004771', '0090018000_08062023004771', '0090018000_08062023004771']
Stack 19 with items: ['0090018000_08062023004771', '0090018000_08062023004771', '0090018000_08062023004771']
Stack 20 with items: ['0090018000_08062023003438', '0090018000_08062023003438', '0090018000_08062023003438']
Stack 21 with items: ['0090018000_08062023003438', '0090018000_08062023003438', '0090018000_08062023003438']
Stack 22 with items: ['0090018000_08062023003438', '0090018000_08062023002644', '0090018000_08062023003438']
Stack 23 with items: ['0090018000_08062023002644', '0090018000_08062023002644', '0090018000_08062023002644']
Stack 24 with items: ['0090018000_08062023002644', '0090018000_08062023002148', '0090018000_08062023002148']
Stacks not packed:
Stack 18 missing: ['0090018000_08062023004771', '0090018000_08062023004771', '0090018000_08062023004771']
Stack 19 missing: ['0090018000_08062023004771', '0090018000_08062023004771', '0090018000_08062023004771']
