dataset: A
instance: BY
+-----------+
2D Packing Heuristic in Truck P251063705
Min2DVol: 26.8 [m2]
Stack 0 with items: ['0090016900_03072022012285', '0090016900_03072022012285']
Stack 1 with items: ['0090016900_03072022012285', '0090016900_03072022012285']
Stack 2 with items: ['0090016900_03072022012285', '0090016900_03072022012285']
Stack 3 with items: ['0090016900_03072022010610', '0090016900_03072022010610']
Stack 4 with items: ['0090016900_03072022010610', '0090016900_03072022010610']
Stack 5 with items: ['0090016900_03072022010610', '0090016900_03072022010610']
Stack 6 with items: ['0090016900_03072022010610', '0090016900_03072022010610']
Stack 7 with items: ['0090016900_03072022010610', '0090016900_03072022010610']
Stack 8 with items: ['0090016900_03072022010610', '0090016900_03072022010610']
Stack 9 with items: ['0090016900_03072022010610', '0090016900_03072022010610']
Heuristic packed all stacks
