dataset: X
instance: CI6
+-----------+
2D Packing Heuristic in Truck P198447809
Min2DVol: 31.549259999999986 [m2]
Stack 0 with items: ['0090016800_14062023007154', '0090016800_14062023007154', '0090016800_14062023026086']
Stack 1 with items: ['0090016800_14062023026086', '0090016800_14062023026086', '0090016800_14062023026086']
Stack 2 with items: ['0090016800_14062023003122', '0090016800_14062023002324', '0090016800_14062023040616']
Stack 3 with items: ['0090016800_14062023002111', '0090016800_14062023002111', '0090016800_14062023002111']
Stack 4 with items: ['0090016800_14062023002111', '0090016800_14062023025218', '0090016800_14062023032809']
Stack 5 with items: ['0090016800_14062023024575', '0090016800_14062023025218', '0090016800_14062023041077']
Stack 6 with items: ['0090016800_14062023031414', '0090016800_14062023030515', '0090016800_14062023030515']
Stack 7 with items: ['0090016800_14062023030515', '0090016800_14062023017026', '0090016800_14062023017026']
Stack 8 with items: ['0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235']
Stack 9 with items: ['0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235']
Stack 10 with items: ['0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235']
Stack 11 with items: ['0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235']
Stack 12 with items: ['0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235']
Stack 13 with items: ['0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235']
Stack 14 with items: ['0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235']
Stack 15 with items: ['0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235', '0090016800_14062023040235']
Stack 16 with items: ['0090016800_14062023040235', '0090016800_14062023023994', '0090016800_14062023040235', '0090016800_14062023040235']
Stack 17 with items: ['0090016800_14062023019206', '0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426']
Stack 18 with items: ['0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426']
Stack 19 with items: ['0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426']
Stack 20 with items: ['0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426']
Stack 21 with items: ['0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426']
Stack 22 with items: ['0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426']
Stack 23 with items: ['0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426']
Stack 24 with items: ['0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426']
Stack 25 with items: ['0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426', '0090016800_14062023015426']
Heuristic packed all stacks
