dataset: A
instance: TR2
+-----------+
2D Packing Heuristic in Truck P243272505
Min2DVol: 17.4 [m2]
Stack 0 with items: ['0090017000_03072022001032', '0090017000_03072022001032']
Stack 1 with items: ['0090017000_03072022001032', '0090017000_03072022001032']
Stack 2 with items: ['0090017000_03072022001032']
Stack 3 with items: ['0090017000_03072022001032', '0090017000_03072022001032']
Stack 4 with items: ['0090017000_03072022001032', '0090017000_03072022001032']
Stack 5 with items: ['0090017000_03072022001032', '0090017000_03072022001032']
Stack 6 with items: ['0090017000_03072022001032', '0090017000_03072022001032']
Stack 7 with items: ['0090017000_03072022003778', '0090017000_03072022002966', '0090017000_03072022002966']
Stack 8 with items: ['0090017000_03072022004248', '0090017000_03072022004248', '0090017000_03072022004248']
Stack 9 with items: ['0090017000_03072022004248', '0090017000_03072022004248', '0090017000_03072022004248']
Stack 10 with items: ['0090017000_03072022004248', '0090017000_03072022004248', '0090017000_03072022004248']
Stack 11 with items: ['0090017000_03072022004248', '0090017000_03072022004248', '0090017000_03072022004248']
Stack 12 with items: ['0090017000_03072022002966', '0090017000_03072022002966', '0090017000_03072022002966']
Stack 13 with items: ['0090017000_03072022004248', '0090017000_03072022004248', '0090017000_03072022004248']
Stack 14 with items: ['0090017000_03072022004248', '0090017000_03072022002966', '0090017000_03072022004248']
Stack 15 with items: ['0090017000_03072022004248', '0090017000_03072022004248', '0090017000_03072022004248']
Stack 16 with items: ['0090017000_03072022004248', '0090017000_03072022004248', '0090017000_03072022004248']
Stack 17 with items: ['0090017000_03072022002966', '0090017000_03072022002966', '0090017000_03072022002966']
Stack 18 with items: ['0090017000_03072022004248', '0090017000_03072022004248', '0090017000_03072022004248']
Stack 19 with items: ['0090017000_03072022008927', '0090017000_03072022008927', '0090017000_03072022008927']
Stack 20 with items: ['0090017000_03072022008927', '0090017000_03072022008927', '0090017000_03072022008927']
Stack 21 with items: ['0090017000_03072022008927', '0090017000_03072022008927', '0090017000_03072022008927']
Stack 22 with items: ['0090017000_03072022008927', '0090017000_03072022008927', '0090017000_03072022008927']
Stack 23 with items: ['0090017000_03072022008927', '0090017000_03072022008667', '0090017000_03072022008927']
Stack 24 with items: ['0090017000_03072022008667', '0090017000_03072022008667', '0090017000_03072022008667']
Stack 25 with items: ['0090017000_03072022008667', '0090017000_03072022008667', '0090017000_03072022008667']
Stack 26 with items: ['0090017000_03072022008667', '0090017000_03072022006899', '0090017000_03072022008667']
Stack 27 with items: ['0090017000_03072022005797', '0090017000_03072022005797', '0090017000_03072022005797']
Stack 28 with items: ['0090017000_03072022005797', '0090017000_03072022005797', '0090017000_03072022005797']
Stacks not packed:
Stack 24 missing: ['0090017000_03072022008667', '0090017000_03072022008667', '0090017000_03072022008667']
Stack 25 missing: ['0090017000_03072022008667', '0090017000_03072022008667', '0090017000_03072022008667']
Stack 26 missing: ['0090017000_03072022008667', '0090017000_03072022006899', '0090017000_03072022008667']
Stack 27 missing: ['0090017000_03072022005797', '0090017000_03072022005797', '0090017000_03072022005797']
Stack 28 missing: ['0090017000_03072022005797', '0090017000_03072022005797', '0090017000_03072022005797']
