dataset: C
instance: MA2
+-----------+
2D Packing Heuristic in Truck P094138501
Min2DVol: 25.320000000000007 [m2]
Stack 0 with items: ['0090016200_28022023013098', '0090016200_28022023013098', '0090016200_28022023032540']
Stack 1 with items: ['0090016200_28022023013098', '0090016200_28022023013098', '0090016200_28022023032540']
Stack 2 with items: ['0090016200_28022023013098', '0090016200_28022023013098', '0090016200_28022023032540']
Stack 3 with items: ['0090016200_28022023013098', '0090016200_28022023013098', '0090016200_28022023032540']
Stack 4 with items: ['0090016200_28022023013098', '0090016200_28022023013098', '0090016200_28022023032540']
Stack 5 with items: ['0090016200_28022023013098', '0090016200_28022023013098', '0090016200_28022023032540']
Stack 6 with items: ['0090016200_28022023013098', '0090016200_28022023013098', '0090016200_28022023032540']
Stack 7 with items: ['0090016200_28022023013098', '0090016200_28022023005787', '0090016200_28022023032540']
Stack 8 with items: ['0090016200_28022023005787', '0090016200_28022023002396', '0090016200_28022023032540']
Stack 9 with items: ['0090016200_28022023002396', '0090016200_28022023002396', '0090016200_28022023032540']
Stack 10 with items: ['0090016200_28022023032540', '0090016200_28022023031631', '0090016200_28022023032540']
Stack 11 with items: ['0090016200_28022023031631', '0090016200_28022023031631', '0090016200_28022023031631']
Stack 12 with items: ['0090016200_28022023027322', '0090016200_28022023027322', '0090016200_28022023027322']
Stack 13 with items: ['0090016200_28022023027322', '0090016200_28022023027322', '0090016200_28022023027322']
Stack 14 with items: ['0090016200_28022023027322', '0090016200_28022023027322', '0090016200_28022023027322']
Stack 15 with items: ['0090016200_28022023027322', '0090016200_28022023025821', '0090016200_28022023025821']
Stack 16 with items: ['0090016200_28022023025821', '0090016200_28022023025821', '0090016200_28022023025821']
Stack 17 with items: ['0090016200_28022023025821', '0090016200_28022023025821', '0090016200_28022023025821']
Stack 18 with items: ['0090016200_28022023025821', '0090016200_28022023025821', '0090016200_28022023025821']
Stack 19 with items: ['0090016200_28022023025821', '0090016200_28022023025821', '0090016200_28022023025821']
Stack 20 with items: ['0090016200_28022023025821', '0090016200_28022023025821', '0090016200_28022023025821']
Stack 21 with items: ['0090016200_28022023025821', '0090016200_28022023025821', '0090016200_28022023025821']
Stack 22 with items: ['0090016200_28022023025821', '0090016200_28022023025821', '0090016200_28022023025821']
Stack 23 with items: ['0090016200_28022023025821', '0090016200_28022023023646', '0090016200_28022023023646']
Stack 24 with items: ['0090016200_28022023023646', '0090016200_28022023017595', '0090016200_28022023017595']
Stack 25 with items: ['0090016200_28022023017595', '0090016200_28022023017595', '0090016200_28022023017595']
Stack 26 with items: ['0090016200_28022023017595', '0090016200_28022023017595', '0090016200_28022023017595']
Stack 27 with items: ['0090016200_28022023017595', '0090016200_28022023012132', '0090016200_28022023012132']
Stack 28 with items: ['0090016200_28022023012132', '0090016200_28022023009357', '0090016200_28022023012132']
Stack 29 with items: ['0090016200_28022023007777', '0090016200_28022023007777', '0090016200_28022023007777']
Stack 30 with items: ['0090016200_28022023005015', '0090016200_28022023005015', '0090016200_28022023005015']
Stack 31 with items: ['0090016200_28022023018166', '0090016200_28022023018166', '0090016200_28022023018166']
Stack 32 with items: ['0090016200_28022023018166', '0090016200_28022023018166', '0090016200_28022023018166']
Stack 33 with items: ['0090016200_28022023014834', '0090016200_28022023014834', '0090016200_28022023014834']
Stack 34 with items: ['0090016200_28022023014834', '0090016200_28022023027763', '0090016200_28022023027763']
Stack 35 with items: ['0090016200_28022023014834', '0090016200_28022023011449', '0090016200_28022023014834']
Stack 36 with items: ['0090016200_28022023018166', '0090016200_28022023018166', '0090016200_28022023018166']
Stack 37 with items: ['0090016200_28022023014834', '0090016200_28022023014834', '0090016200_28022023014834']
Stacks not packed:
Stack 7 missing: ['0090016200_28022023013098', '0090016200_28022023005787', '0090016200_28022023032540']
Stack 8 missing: ['0090016200_28022023005787', '0090016200_28022023002396', '0090016200_28022023032540']
Stack 23 missing: ['0090016200_28022023025821', '0090016200_28022023023646', '0090016200_28022023023646']
Stack 27 missing: ['0090016200_28022023017595', '0090016200_28022023012132', '0090016200_28022023012132']
Stack 28 missing: ['0090016200_28022023012132', '0090016200_28022023009357', '0090016200_28022023012132']
Stack 31 missing: ['0090016200_28022023018166', '0090016200_28022023018166', '0090016200_28022023018166']
Stack 32 missing: ['0090016200_28022023018166', '0090016200_28022023018166', '0090016200_28022023018166']
Stack 33 missing: ['0090016200_28022023014834', '0090016200_28022023014834', '0090016200_28022023014834']
Stack 34 missing: ['0090016200_28022023014834', '0090016200_28022023027763', '0090016200_28022023027763']
Stack 35 missing: ['0090016200_28022023014834', '0090016200_28022023011449', '0090016200_28022023014834']
Stack 36 missing: ['0090016200_28022023018166', '0090016200_28022023018166', '0090016200_28022023018166']
Stack 37 missing: ['0090016200_28022023014834', '0090016200_28022023014834', '0090016200_28022023014834']
