dataset: X
instance: SA4
+-----------+
2D Packing Heuristic in Truck P237056201
Min2DVol: 30.03611999999999 [m2]
Stack 0 with items: ['0090017100_14062023027799', '0090017100_14062023002717']
Stack 1 with items: ['0090017100_14062023021363', '0090017100_14062023002717', '0090017100_14062023002717']
Stack 2 with items: ['0090017100_14062023029298', '0090017100_14062023029298', '0090017100_14062023029298']
Stack 3 with items: ['0090017100_14062023029298', '0090017100_14062023029298', '0090017100_14062023029298']
Stack 4 with items: ['0090017100_14062023029298', '0090017100_14062023029298', '0090017100_14062023029298']
Stack 5 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 6 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 7 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 8 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 9 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 10 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 11 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 12 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 13 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 14 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 15 with items: ['0090017100_14062023028274', '0090017100_14062023028274', '0090017100_14062023028274']
Stack 16 with items: ['0090017100_14062023028274', '0090017100_14062023027084', '0090017100_14062023028274']
Stack 17 with items: ['0090017100_14062023027084', '0090017100_14062023027084', '0090017100_14062023027084']
Stack 18 with items: ['0090017100_14062023027084', '0090017100_14062023027084', '0090017100_14062023027084']
Stack 19 with items: ['0090017100_14062023027084', '0090017100_14062023027084', '0090017100_14062023027084']
Stack 20 with items: ['0090017100_14062023027084', '0090017100_14062023027084', '0090017100_14062023027084']
Stack 21 with items: ['0090017100_14062023027084', '0090017100_14062023027084', '0090017100_14062023027084']
Stack 22 with items: ['0090017100_14062023027084', '0090017100_14062023027084', '0090017100_14062023027084']
Stack 23 with items: ['0090017100_14062023027084', '0090017100_14062023027084', '0090017100_14062023027084']
Stack 24 with items: ['0090017100_14062023027084', '0090017100_14062023007364', '0090017100_14062023027084']
Heuristic packed all stacks
