dataset: X
instance: CI7
+-----------+
2D Packing Heuristic in Truck P175449405
Min2DVol: 31.532990999999992 [m2]
Stack 0 with items: ['0090016800_14062023030032', '0090016800_14062023030032', '0090016800_14062023030032']
Stack 1 with items: ['0090016800_14062023030032', '0090016800_14062023027393', '0090016800_14062023030032']
Stack 2 with items: ['0090016800_14062023027393', '0090016800_14062023027393', '0090016800_14062023027393']
Stack 3 with items: ['0090016800_14062023009189', '0090016800_14062023009189', '0090016800_14062023009189']
Stack 4 with items: ['0090016800_14062023007601', '0090016800_14062023007601', '0090016800_14062023007601']
Stack 5 with items: ['0090016800_14062023007601', '0090016800_14062023005421', '0090016800_14062023007601']
Stack 6 with items: ['0090016800_14062023005421', '0090016800_14062023005421', '0090016800_14062023005421']
Stack 7 with items: ['0090016800_14062023041293', '0090016800_14062023041293']
Stack 8 with items: ['0090016800_14062023035567', '0090016800_14062023035567']
Stack 9 with items: ['0090016800_14062023035567', '0090016800_14062023035567']
Stack 10 with items: ['0090016800_14062023035319', '0090016800_14062023035319']
Stack 11 with items: ['0090016800_14062023035319', '0090016800_14062023035319']
Stack 12 with items: ['0090016800_14062023035319', '0090016800_14062023035319']
Stack 13 with items: ['0090016800_14062023035319', '0090016800_14062023035319']
Stack 14 with items: ['0090016800_14062023035319', '0090016800_14062023035319']
Stack 15 with items: ['0090016800_14062023035319', '0090016800_14062023035319']
Stack 16 with items: ['0090016800_14062023035319', '0090016800_14062023035319']
Stack 17 with items: ['0090016800_14062023035319', '0090016800_14062023019079']
Stack 18 with items: ['0090016800_14062023019079', '0090016800_14062023019079']
Stack 19 with items: ['0090016800_14062023015260', '0090016800_14062023015260']
Stack 20 with items: ['0090016800_14062023015260', '0090016800_14062023015260']
Stack 21 with items: ['0090016800_14062023015260', '0090016800_14062023015260']
Stack 22 with items: ['0090016800_14062023015260', '0090016800_14062023015260']
Stack 23 with items: ['0090016800_14062023015260', '0090016800_14062023015260']
Stack 24 with items: ['0090016800_14062023042522', '0090016800_14062023042522']
Stack 25 with items: ['0090016800_14062023021475', '0090016800_14062023021097']
Heuristic packed all stacks
