dataset: C
instance: SA3
+-----------+
2D Packing Heuristic in Truck P108363501
Min2DVol: 31.49316000000003 [m2]
Stack 0 with items: ['0090017100_28022023009562']
Stack 1 with items: ['0090017100_28022023010643']
Stack 2 with items: ['0090017100_28022023010643']
Stack 3 with items: ['0090017100_28022023010643']
Stack 4 with items: ['0090017100_28022023010643']
Stack 5 with items: ['0090017100_28022023015112']
Stack 6 with items: ['0090017100_28022023015188']
Stack 7 with items: ['0090017100_28022023015188']
Stack 8 with items: ['0090017100_28022023015188']
Stack 9 with items: ['0090017100_28022023018316']
Stack 10 with items: ['0090017100_28022023023078']
Stack 11 with items: ['0090017100_28022023024864']
Stack 12 with items: ['0090017100_28022023024864']
Stack 13 with items: ['0090017100_28022023024864']
Stack 14 with items: ['0090017100_28022023027035']
Stack 15 with items: ['0090017100_28022023019531', '0090017100_28022023019531']
Stack 16 with items: ['0090017100_28022023019531', '0090017100_28022023019531']
Stack 17 with items: ['0090017100_28022023019531', '0090017100_28022023019531']
Stack 18 with items: ['0090017100_28022023019531', '0090017100_28022023019531']
Stack 19 with items: ['0090017100_28022023019531', '0090017100_28022023019531']
Stack 20 with items: ['0090017100_28022023019531', '0090017100_28022023019531']
Stack 21 with items: ['0090017100_28022023017177', '0090017100_28022023017177']
Stack 22 with items: ['0090017100_28022023017177', '0090017100_28022023017177']
Stack 23 with items: ['0090017100_28022023017177', '0090017100_28022023017177']
Stack 24 with items: ['0090017100_28022023017177', '0090017100_28022023017177']
Stack 25 with items: ['0090017100_28022023017177', '0090017100_28022023017177']
Stack 26 with items: ['0090017100_28022023017177', '0090017100_28022023009778']
Stack 27 with items: ['0090017100_28022023009778', '0090017100_28022023009778']
Stack 28 with items: ['0090017100_28022023009778', '0090017100_28022023009778']
Stack 29 with items: ['0090017100_28022023009778', '0090017100_28022023009716']
Stack 30 with items: ['0090017100_28022023009716', '0090017100_28022023009716']
Stack 31 with items: ['0090017100_28022023009716', '0090017100_28022023009716']
Stack 32 with items: ['0090017100_28022023009716', '0090017100_28022023006169']
Stack 33 with items: ['0090017100_28022023006169', '0090017100_28022023006169']
Stack 34 with items: ['0090017100_28022023006169', '0090017100_28022023006169']
Stack 35 with items: ['0090017100_28022023006169', '0090017100_28022023006169']
Stack 36 with items: ['0090017100_28022023006169', '0090017100_28022023006169']
Stack 37 with items: ['0090017100_28022023003585', '0090017100_28022023003585']
Stack 38 with items: ['0090017100_28022023003585', '0090017100_28022023003585']
Stack 39 with items: ['0090017100_28022023003585', '0090017100_28022023003585']
Stack 40 with items: ['0090017100_28022023003585', '0090017100_28022023003585']
Stack 41 with items: ['0090017100_28022023003585', '0090017100_28022023003585']
Stack 42 with items: ['0090017100_28022023013532', '0090017100_28022023023015']
Heuristic packed all stacks
