dataset: C
instance: MT
+-----------+
2D Packing Heuristic in Truck P082630001
Min2DVol: 26.39999999999999 [m2]
Stack 0 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 1 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 2 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 3 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 4 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 5 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 6 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 7 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 8 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 9 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 10 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 11 with items: ['0091017700_27022023007092', '0091017700_27022023007092']
Stack 12 with items: ['0091017700_27022023007092', '0091017700_27022023006669']
Stack 13 with items: ['0091017700_27022023006669', '0091017700_27022023003855']
Stack 14 with items: ['0091017700_27022023003855', '0091017700_27022023003855']
Stack 15 with items: ['0091017700_27022023003855', '0091017700_27022023003855']
Stack 16 with items: ['0091017700_27022023003855', '0091017700_27022023003855']
Stack 17 with items: ['0091017700_27022023003855', '0091017700_27022023003855']
Stack 18 with items: ['0091017700_27022023003855', '0091017700_27022023003855']
Stack 19 with items: ['0091017700_27022023003855', '0091017700_27022023003855']
Stack 20 with items: ['0091017700_27022023003855', '0091017700_27022023003572']
Stack 21 with items: ['0091017700_27022023001935']
Stacks not packed:
Stack 19 missing: ['0091017700_27022023003855', '0091017700_27022023003855']
