dataset: C
instance: BY3
+-----------+
2D Packing Heuristic in Truck P086060801
Min2DVol: 19.544040000000003 [m2]
Stack 0 with items: ['0090016900_28022023002442', '0090016900_28022023005784', '0090016900_28022023031411']
Stack 1 with items: ['0090016900_28022023022919', '0090016900_28022023017832', '0090016900_28022023026485']
Stack 2 with items: ['0090016900_28022023022047', '0090016900_28022023028861']
Stack 3 with items: ['0090016900_28022023002442', '0090016900_28022023018845', '0090016900_28022023029002']
Stack 4 with items: ['0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857']
Stack 5 with items: ['0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857']
Stack 6 with items: ['0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857']
Stack 7 with items: ['0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857']
Stack 8 with items: ['0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857']
Stack 9 with items: ['0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857']
Stack 10 with items: ['0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857']
Stack 11 with items: ['0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857', '0090016900_28022023030857']
Stack 12 with items: ['0090016900_28022023030857', '0090016900_28022023022795', '0090016900_28022023030857', '0090016900_28022023030857']
Stack 13 with items: ['0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795']
Stack 14 with items: ['0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795']
Stack 15 with items: ['0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795']
Stack 16 with items: ['0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795']
Stack 17 with items: ['0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795']
Stack 18 with items: ['0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795']
Stack 19 with items: ['0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795']
Stack 20 with items: ['0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795', '0090016900_28022023022795']
Stack 21 with items: ['0090016900_28022023022795', '0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063']
Stack 22 with items: ['0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063']
Stack 23 with items: ['0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063']
Stack 24 with items: ['0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063']
Stack 25 with items: ['0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063']
Stack 26 with items: ['0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063']
Stack 27 with items: ['0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063']
Stack 28 with items: ['0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063', '0090016900_28022023022063']
Stack 29 with items: ['0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961']
Stack 30 with items: ['0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961']
Stack 31 with items: ['0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961']
Stack 32 with items: ['0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961']
Stack 33 with items: ['0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961']
Stack 34 with items: ['0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961']
Stack 35 with items: ['0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961']
Stack 36 with items: ['0090016900_28022023014961', '0090016900_28022023014961', '0090016900_28022023014961']
Heuristic packed all stacks
