dataset: B
instance: CI2
+-----------+
2D Packing Heuristic in Truck P348402601
Min2DVol: 15.52427999999999 [m2]
Stack 0 with items: ['0090016800_26102022014864', '0090016800_26102022013063', '0090016800_26102022013063', '0090016800_26102022014497', '0090016800_26102022009306']
Stack 1 with items: ['0090016800_26102022014624', '0090016800_26102022010783', '0090016800_26102022011107', '0090016800_26102022013817', '0090016800_26102022007362']
Stack 2 with items: ['0090016800_26102022013850', '0090016800_26102022007381']
Stack 3 with items: ['0090016800_26102022009313', '0090016800_26102022009313']
Stack 4 with items: ['0090016800_26102022009313', '0090016800_26102022009313']
Stack 5 with items: ['0090016800_26102022009313', '0090016800_26102022006679']
Stack 6 with items: ['0090016800_26102022005405', '0090016800_26102022000841']
Stack 7 with items: ['0090016800_26102022005151']
Stack 8 with items: ['0090016800_26102022005410', '0090016800_26102022005410', '0090016800_26102022009169', '0090016800_26102022014358']
Stack 9 with items: ['0090016800_26102022004185', '0090016800_26102022009169', '0090016800_26102022009169', '0090016800_26102022009169']
Stack 10 with items: ['0090016800_26102022005410', '0090016800_26102022009169', '0090016800_26102022009169', '0090016800_26102022014358']
Stack 11 with items: ['0090016800_26102022001856', '0090016800_26102022001856', '0090016800_26102022009169', '0090016800_26102022014358']
Stack 12 with items: ['0090016800_26102022009169', '0090016800_26102022009169', '0090016800_26102022009169', '0090016800_26102022009169']
Stack 13 with items: ['0090016800_26102022005410', '0090016800_26102022005410', '0090016800_26102022005410', '0090016800_26102022009169']
Stack 14 with items: ['0090016800_26102022005410', '0090016800_26102022004185', '0090016800_26102022005410', '0090016800_26102022005410']
Stack 15 with items: ['0090016800_26102022005410', '0090016800_26102022009169', '0090016800_26102022009169', '0090016800_26102022009169']
Stack 16 with items: ['0090016800_26102022009169', '0090016800_26102022005410', '0090016800_26102022004185', '0090016800_26102022009169']
Stack 17 with items: ['0090016800_26102022005410', '0090016800_26102022005410', '0090016800_26102022005410', '0090016800_26102022014358']
Stack 18 with items: ['0090016800_26102022004185', '0090016800_26102022005410', '0090016800_26102022008725', '0090016800_26102022009169']
Stack 19 with items: ['0090016800_26102022012071', '0090016800_26102022004185', '0090016800_26102022012915', '0090016800_26102022014358']
Stack 20 with items: ['0090016800_26102022005410', '0090016800_26102022005410', '0090016800_26102022005410', '0090016800_26102022005410']
Heuristic packed all stacks
