dataset: C
instance: TR2
+-----------+
2D Packing Heuristic in Truck P103425501
Min2DVol: 31.104479999999995 [m2]
Stack 0 with items: ['0090017000_28022023011525', '0090017000_28022023011525']
Stack 1 with items: ['0090017000_28022023003501', '0090017000_28022023003501']
Stack 2 with items: ['0090017000_28022023003923', '0090017000_28022023000428']
Stack 3 with items: ['0090017000_28022023011525', '0090017000_28022023011525']
Stack 4 with items: ['0090017000_28022023011525', '0090017000_28022023011525']
Stack 5 with items: ['0090017000_28022023000428', '0090017000_28022023000428']
Stack 6 with items: ['0090017000_28022023003501', '0090017000_28022023003501']
Stack 7 with items: ['0090017000_28022023000428', '0090017000_28022023000428']
Stack 8 with items: ['0090017000_28022023000656', '0090017000_28022023000656', '0090017000_28022023000656', '0090017000_28022023003906']
Stack 9 with items: ['0090017000_28022023010420', '0090017000_28022023010420', '0090017000_28022023010420']
Stack 10 with items: ['0090017000_28022023010420', '0090017000_28022023007798', '0090017000_28022023010420']
Stack 11 with items: ['0090017000_28022023007798', '0090017000_28022023007798', '0090017000_28022023007798']
Stack 12 with items: ['0090017000_28022023007798', '0090017000_28022023007798', '0090017000_28022023007798']
Stack 13 with items: ['0090017000_28022023007798', '0090017000_28022023006374', '0090017000_28022023006374']
Stack 14 with items: ['0090017000_28022023005555', '0090017000_28022023002248', '0090017000_28022023005555']
Stack 15 with items: ['0090017000_28022023001899', '0090017000_28022023001899', '0090017000_28022023001899']
Stack 16 with items: ['0090017000_28022023001899', '0090017000_28022023001899', '0090017000_28022023001899']
Stack 17 with items: ['0090017000_28022023001899', '0090017000_28022023001899', '0090017000_28022023001899']
Stack 18 with items: ['0090017000_28022023001899', '0090017000_28022023001899', '0090017000_28022023001899']
Stack 19 with items: ['0090017000_28022023001899', '0090017000_28022023001899', '0090017000_28022023001899']
Stack 20 with items: ['0090017000_28022023001899', '0090017000_28022023001899', '0090017000_28022023001899']
Stack 21 with items: ['0090017000_28022023006089', '0090017000_28022023006089', '0090017000_28022023006089']
Stack 22 with items: ['0090017000_28022023005552', '0090017000_28022023006089', '0090017000_28022023006089']
Stack 23 with items: ['0090017000_28022023006698', '0090017000_28022023006698', '0090017000_28022023006698']
Heuristic packed all stacks
