dataset: X
instance: TA5
+-----------+
2D Packing Heuristic in Truck P195382111
Min2DVol: 29.298060000000007 [m2]
Stack 0 with items: ['0090038300_14062023002038', '0090038300_14062023000409']
Stack 1 with items: ['0090038300_14062023006811', '0090038300_14062023008189', '0090038300_14062023008189']
Stack 2 with items: ['0090038300_14062023006811', '0090038300_14062023000477', '0090038300_14062023006811']
Stack 3 with items: ['0090038300_14062023001180', '0090038300_14062023007690', '0090038300_14062023008050']
Stack 4 with items: ['0090038300_14062023011952', '0090038300_14062023007635', '0090038300_14062023002153']
Stack 5 with items: ['0090038300_14062023006962', '0090038300_14062023002088', '0090038300_14062023006962']
Stack 6 with items: ['0090038300_14062023003647', '0090038300_14062023000766', '0090038300_14062023005083']
Stack 7 with items: ['0090038300_14062023006811', '0090038300_14062023005083', '0090038300_14062023006811']
Stack 8 with items: ['0090038300_14062023006130', '0090038300_14062023006130', '0090038300_14062023010981']
Stack 9 with items: ['0090038300_14062023004197', '0090038300_14062023005767', '0090038300_14062023011376']
Stack 10 with items: ['0090038300_14062023011926', '0090038300_14062023011921', '0090038300_14062023010516']
Stack 11 with items: ['0090038300_14062023010365', '0090038300_14062023010364', '0090038300_14062023010288']
Stack 12 with items: ['0090038300_14062023009105', '0090038300_14062023009068', '0090038300_14062023009105']
Stack 13 with items: ['0090038300_14062023007786', '0090038300_14062023007695', '0090038300_14062023007591']
Stack 14 with items: ['0090038300_14062023007487', '0090038300_14062023007463', '0090038300_14062023006708']
Stack 15 with items: ['0090038300_14062023006634', '0090038300_14062023006037', '0090038300_14062023005183']
Stack 16 with items: ['0090038300_14062023005128', '0090038300_14062023004870', '0090038300_14062023005128']
Stack 17 with items: ['0090038300_14062023003214', '0090038300_14062023002960', '0090038300_14062023003214']
Stack 18 with items: ['0090038300_14062023002887', '0090038300_14062023002216', '0090038300_14062023001106']
Heuristic packed all stacks
