dataset: X
instance: CI
+-----------+
2D Packing Heuristic in Truck P195447813
Min2DVol: 31.73238899999999 [m2]
Stack 0 with items: ['0090016800_08062023000477', '0090016800_08062023000477', '0090016800_08062023000477', '0090016800_08062023000477']
Stack 1 with items: ['0090016800_08062023042440', '0090016800_08062023042440', '0090016800_08062023042440', '0090016800_08062023042440']
Stack 2 with items: ['0090016800_08062023008469', '0090016800_08062023008469', '0090016800_08062023008469', '0090016800_08062023008469']
Stack 3 with items: ['0090016800_08062023042440', '0090016800_08062023042440', '0090016800_08062023042440', '0090016800_08062023042440']
Stack 4 with items: ['0090016800_08062023001989', '0090016800_08062023008527', '0090016800_08062023011243', '0090016800_08062023033411']
Stack 5 with items: ['0090016800_08062023032369', '0090016800_08062023020089', '0090016800_08062023020089']
Stack 6 with items: ['0090016800_08062023021171', '0090016800_08062023008527', '0090016800_08062023040164', '0090016800_08062023048661']
Stack 7 with items: ['0090016800_08062023047251', '0090016800_08062023047251', '0090016800_08062023047251']
Stack 8 with items: ['0090016800_08062023047251', '0090016800_08062023045064', '0090016800_08062023047251']
Stack 9 with items: ['0090016800_08062023043485', '0090016800_08062023043485', '0090016800_08062023043485']
Stack 10 with items: ['0090016800_08062023043485', '0090016800_08062023042733', '0090016800_08062023042733']
Stack 11 with items: ['0090016800_08062023041412', '0090016800_08062023041412', '0090016800_08062023041412']
Stack 12 with items: ['0090016800_08062023041412', '0090016800_08062023035713', '0090016800_08062023041412']
Stack 13 with items: ['0090016800_08062023035713', '0090016800_08062023035713', '0090016800_08062023035713']
Stack 14 with items: ['0090016800_08062023035713', '0090016800_08062023035713', '0090016800_08062023035713']
Stack 15 with items: ['0090016800_08062023035713', '0090016800_08062023035713', '0090016800_08062023035713']
Stack 16 with items: ['0090016800_08062023035713', '0090016800_08062023029103', '0090016800_08062023035713']
Stack 17 with items: ['0090016800_08062023029103', '0090016800_08062023025524', '0090016800_08062023023233']
Stack 18 with items: ['0090016800_08062023017579', '0090016800_08062023014848', '0090016800_08062023017579']
Stack 19 with items: ['0090016800_08062023014848', '0090016800_08062023010748', '0090016800_08062023010748']
Stack 20 with items: ['0090016800_08062023010748', '0090016800_08062023010748', '0090016800_08062023010748']
Stack 21 with items: ['0090016800_08062023010748', '0090016800_08062023010748', '0090016800_08062023010748']
Stack 22 with items: ['0090016800_08062023010748', '0090016800_08062023010748', '0090016800_08062023010748']
Stack 23 with items: ['0090016800_08062023010748', '0090016800_08062023010748', '0090016800_08062023010748']
Heuristic packed all stacks
