dataset: X
instance: FS
+-----------+
2D Packing Heuristic in Truck P173520301
Min2DVol: 32.80140000000001 [m2]
Stack 0 with items: ['0091017500_08062023001793']
Stack 1 with items: ['0091017500_08062023001793']
Stack 2 with items: ['0091017500_08062023001225']
Stack 3 with items: ['0091017500_08062023001225']
Stack 4 with items: ['0091017500_08062023001225']
Stack 5 with items: ['0091017500_08062023001130']
Stack 6 with items: ['0091017500_08062023001130']
Stack 7 with items: ['0091017500_08062023001130']
Stack 8 with items: ['0091017500_08062023001130']
Stack 9 with items: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
Stack 10 with items: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
Stack 11 with items: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
Stack 12 with items: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
Stack 13 with items: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
Stack 14 with items: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
Stack 15 with items: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
Stack 16 with items: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
Stack 17 with items: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
Stack 18 with items: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
Stack 19 with items: ['0091017500_08062023001878', '0091017500_08062023001878', '0091017500_08062023001878']
Stack 20 with items: ['0091017500_08062023001878', '0091017500_08062023001878', '0091017500_08062023001878']
Stack 21 with items: ['0091017500_08062023001878', '0091017500_08062023001878', '0091017500_08062023001878']
Stack 22 with items: ['0091017500_08062023001878', '0091017500_08062023001878', '0091017500_08062023001878']
Stack 23 with items: ['0091017500_08062023001878', '0091017500_08062023001878', '0091017500_08062023001878']
Stacks not packed:
Stack 18 missing: ['0091017500_08062023001341', '0091017500_08062023001341', '0091017500_08062023001341']
