dataset: A
instance: SA2
+-----------+
2D Packing Heuristic in Truck P229056205
Min2DVol: 31.254179999999987 [m2]
Stack 0 with items: ['0090017100_03072022006763', '0090017100_03072022007852']
Stack 1 with items: ['0090017100_03072022003768', '0090017100_03072022007852']
Stack 2 with items: ['0090017100_03072022003768', '0090017100_03072022003768']
Stack 3 with items: ['0090017100_03072022015519', '0090017100_03072022015519', '0090017100_03072022015519']
Stack 4 with items: ['0090017100_03072022015519', '0090017100_03072022015519', '0090017100_03072022015519']
Stack 5 with items: ['0090017100_03072022015519', '0090017100_03072022015519', '0090017100_03072022015519']
Stack 6 with items: ['0090017100_03072022015519', '0090017100_03072022015519', '0090017100_03072022015519']
Stack 7 with items: ['0090017100_03072022015519', '0090017100_03072022015519', '0090017100_03072022015519']
Stack 8 with items: ['0090017100_03072022015519', '0090017100_03072022015519', '0090017100_03072022015519']
Stack 9 with items: ['0090017100_03072022015519', '0090017100_03072022015519', '0090017100_03072022015519']
Stack 10 with items: ['0090017100_03072022015519', '0090017100_03072022015519', '0090017100_03072022015519']
Stack 11 with items: ['0090017100_03072022015519', '0090017100_03072022015519', '0090017100_03072022015519']
Stack 12 with items: ['0090017100_03072022015519', '0090017100_03072022015519', '0090017100_03072022015519']
Stack 13 with items: ['0090017100_03072022015519', '0090017100_03072022013338', '0090017100_03072022015519']
Stack 14 with items: ['0090017100_03072022013338', '0090017100_03072022010572', '0090017100_03072022010572']
Stack 15 with items: ['0090017100_03072022010572', '0090017100_03072022010572', '0090017100_03072022010572']
Stack 16 with items: ['0090017100_03072022010572', '0090017100_03072022010390', '0090017100_03072022010390']
Stack 17 with items: ['0090017100_03072022010390', '0090017100_03072022010390', '0090017100_03072022010390']
Stack 18 with items: ['0090017100_03072022010390', '0090017100_03072022010390', '0090017100_03072022010390']
Stack 19 with items: ['0090017100_03072022010390', '0090017100_03072022010390', '0090017100_03072022010390']
Stack 20 with items: ['0090017100_03072022010390', '0090017100_03072022010390', '0090017100_03072022010390']
Stack 21 with items: ['0090017100_03072022010390', '0090017100_03072022010390', '0090017100_03072022010390']
Stack 22 with items: ['0090017100_03072022010390', '0090017100_03072022010390', '0090017100_03072022010390']
Stack 23 with items: ['0090017100_03072022010390', '0090017100_03072022010390', '0090017100_03072022010390']
Stack 24 with items: ['0090017100_03072022010390', '0090017100_03072022010390', '0090017100_03072022010390']
Stack 25 with items: ['0090017100_03072022010390', '0090017100_03072022010390', '0090017100_03072022010390']
Heuristic packed all stacks
