dataset: X
instance: TR4
+-----------+
2D Packing Heuristic in Truck P200420401
Min2DVol: 28.89029999999999 [m2]
Stack 0 with items: ['0090017000_14062023031474', '0090017000_14062023031474']
Stack 1 with items: ['0090017000_14062023013540', '0090017000_14062023013540']
Stack 2 with items: ['0090017000_14062023013540', '0090017000_14062023013540']
Stack 3 with items: ['0090017000_14062023031474', '0090017000_14062023031474']
Stack 4 with items: ['0090017000_14062023018474', '0090017000_14062023027985']
Stack 5 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 6 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 7 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 8 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 9 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 10 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 11 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 12 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 13 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 14 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 15 with items: ['0090017000_14062023043061', '0090017000_14062023043061', '0090017000_14062023043061']
Stack 16 with items: ['0090017000_14062023028449', '0090017000_14062023028449', '0090017000_14062023043061']
Stack 17 with items: ['0090017000_14062023028449', '0090017000_14062023028449', '0090017000_14062023028449']
Stack 18 with items: ['0090017000_14062023028449', '0090017000_14062023028449', '0090017000_14062023028449']
Stack 19 with items: ['0090017000_14062023028449', '0090017000_14062023028449', '0090017000_14062023028449']
Stack 20 with items: ['0090017000_14062023028449', '0090017000_14062023028449', '0090017000_14062023028449']
Stack 21 with items: ['0090017000_14062023028449', '0090017000_14062023028449', '0090017000_14062023028449']
Stack 22 with items: ['0090017000_14062023028449', '0090017000_14062023028449', '0090017000_14062023028449']
Stack 23 with items: ['0090017000_14062023028449', '0090017000_14062023028449', '0090017000_14062023028449']
Heuristic packed all stacks
