dataset: A
instance: DO2
+-----------+
2D Packing Heuristic in Truck P262145103
Min2DVol: 21.714029999999987 [m2]
Stack 0 with items: ['0090019100_03072022001563', '0090019100_03072022001156']
Stack 1 with items: ['0090019100_03072022004160', '0090019100_03072022004160']
Stack 2 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 3 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 4 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 5 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 6 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 7 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 8 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 9 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 10 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 11 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 12 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 13 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 14 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 15 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 16 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 17 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 18 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 19 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 20 with items: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 21 with items: ['0090019100_03072022002702']
Stacks not packed:
Stack 15 missing: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 16 missing: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 17 missing: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 18 missing: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 19 missing: ['0090019100_03072022002702', '0090019100_03072022002702']
Stack 20 missing: ['0090019100_03072022002702', '0090019100_03072022002702']
