dataset: X
instance: MA2
+-----------+
2D Packing Heuristic in Truck P199138803
Min2DVol: 29.880000000000038 [m2]
Stack 0 with items: ['0090016200_08062023021402', '0090016200_08062023007902']
Stack 1 with items: ['0090016200_08062023021402', '0090016200_08062023021402', '0090016200_08062023021402']
Stack 2 with items: ['0090016200_08062023006657', '0090016200_08062023013248', '0090016200_08062023013248']
Stack 3 with items: ['0090016200_08062023006657', '0090016200_08062023015506', '0090016200_08062023015506']
Stack 4 with items: ['0090016200_08062023007902', '0090016200_08062023032959', '0090016200_08062023032959']
Stack 5 with items: ['0090016200_08062023010086', '0090016200_08062023010086', '0090016200_08062023010086']
Stack 6 with items: ['0090016200_08062023006033', '0090016200_08062023015506', '0090016200_08062023030992']
Stack 7 with items: ['0090016200_08062023013248', '0090016200_08062023013248', '0090016200_08062023013248']
Stack 8 with items: ['0090016200_08062023006033', '0090016200_08062023015506']
Stack 9 with items: ['0090016200_08062023021402', '0090016200_08062023021402', '0090016200_08062023021402']
Stack 10 with items: ['0090016200_08062023006657', '0090016200_08062023006657', '0090016200_08062023006657']
Stack 11 with items: ['0090016200_08062023021402', '0090016200_08062023021402', '0090016200_08062023021402']
Stack 12 with items: ['0090016200_08062023010086', '0090016200_08062023006033', '0090016200_08062023006033']
Stack 13 with items: ['0090016200_08062023006657', '0090016200_08062023002946', '0090016200_08062023006657']
Stack 14 with items: ['0090016200_08062023006657', '0090016200_08062023006657', '0090016200_08062023006657']
Stack 15 with items: ['0090016200_08062023007902', '0090016200_08062023007902', '0090016200_08062023027218']
Stack 16 with items: ['0090016200_08062023010086', '0090016200_08062023010086', '0090016200_08062023010086']
Stack 17 with items: ['0090016200_08062023015506', '0090016200_08062023015506', '0090016200_08062023015506']
Stack 18 with items: ['0090016200_08062023030731', '0090016200_08062023016113', '0090016200_08062023016113']
Stack 19 with items: ['0090016200_08062023016113', '0090016200_08062023016113', '0090016200_08062023016113']
Stack 20 with items: ['0090016200_08062023016113', '0090016200_08062023016113', '0090016200_08062023016113']
Stack 21 with items: ['0090016200_08062023016113', '0090016200_08062023015785', '0090016200_08062023015661']
Stack 22 with items: ['0090016200_08062023013194', '0090016200_08062023008958', '0090016200_08062023013194']
Stack 23 with items: ['0090016200_08062023008958', '0090016200_08062023005483', '0090016200_08062023005019']
Stack 24 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 25 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 26 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 27 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 28 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 29 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 30 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 31 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 32 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 33 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 34 with items: ['0090016200_08062023007574', '0090016200_08062023007574', '0090016200_08062023007574']
Stack 35 with items: ['0090016200_08062023005019', '0090016200_08062023005019', '0090016200_08062023005019']
Stack 36 with items: ['0090016200_08062023005019', '0090016200_08062023005019', '0090016200_08062023005019']
Stack 37 with items: ['0090016200_08062023005019', '0090016200_08062023005019', '0090016200_08062023005019']
Stack 38 with items: ['0090016200_08062023004430']
Stacks not packed:
Stack 2 missing: ['0090016200_08062023006657', '0090016200_08062023013248', '0090016200_08062023013248']
Stack 3 missing: ['0090016200_08062023006657', '0090016200_08062023015506', '0090016200_08062023015506']
Stack 5 missing: ['0090016200_08062023010086', '0090016200_08062023010086', '0090016200_08062023010086']
Stack 6 missing: ['0090016200_08062023006033', '0090016200_08062023015506', '0090016200_08062023030992']
Stack 7 missing: ['0090016200_08062023013248', '0090016200_08062023013248', '0090016200_08062023013248']
Stack 9 missing: ['0090016200_08062023021402', '0090016200_08062023021402', '0090016200_08062023021402']
Stack 10 missing: ['0090016200_08062023006657', '0090016200_08062023006657', '0090016200_08062023006657']
Stack 11 missing: ['0090016200_08062023021402', '0090016200_08062023021402', '0090016200_08062023021402']
Stack 12 missing: ['0090016200_08062023010086', '0090016200_08062023006033', '0090016200_08062023006033']
Stack 13 missing: ['0090016200_08062023006657', '0090016200_08062023002946', '0090016200_08062023006657']
Stack 14 missing: ['0090016200_08062023006657', '0090016200_08062023006657', '0090016200_08062023006657']
Stack 15 missing: ['0090016200_08062023007902', '0090016200_08062023007902', '0090016200_08062023027218']
Stack 16 missing: ['0090016200_08062023010086', '0090016200_08062023010086', '0090016200_08062023010086']
Stack 17 missing: ['0090016200_08062023015506', '0090016200_08062023015506', '0090016200_08062023015506']
Stack 21 missing: ['0090016200_08062023016113', '0090016200_08062023015785', '0090016200_08062023015661']
Stack 22 missing: ['0090016200_08062023013194', '0090016200_08062023008958', '0090016200_08062023013194']
