dataset: X
instance: SA4
+-----------+
2D Packing Heuristic in Truck P207050703
Min2DVol: 31.23611999999999 [m2]
Stack 0 with items: ['0090017100_14062023001855', '0090017100_14062023025468']
Stack 1 with items: ['0090017100_14062023028200', '0090017100_14062023012339']
Stack 2 with items: ['0090017100_14062023028161', '0090017100_14062023028161', '0090017100_14062023028161']
Stack 3 with items: ['0090017100_14062023028161', '0090017100_14062023026998', '0090017100_14062023028161']
Stack 4 with items: ['0090017100_14062023026998', '0090017100_14062023025444', '0090017100_14062023025444']
Stack 5 with items: ['0090017100_14062023025444', '0090017100_14062023025444', '0090017100_14062023025444']
Stack 6 with items: ['0090017100_14062023025444', '0090017100_14062023025444', '0090017100_14062023025444']
Stack 7 with items: ['0090017100_14062023024171', '0090017100_14062023021033', '0090017100_14062023024171']
Stack 8 with items: ['0090017100_14062023021033', '0090017100_14062023019864', '0090017100_14062023021033']
Stack 9 with items: ['0090017100_14062023019864', '0090017100_14062023019671', '0090017100_14062023019864']
Stack 10 with items: ['0090017100_14062023019671', '0090017100_14062023019671', '0090017100_14062023019671']
Stack 11 with items: ['0090017100_14062023019671', '0090017100_14062023019671', '0090017100_14062023019671']
Stack 12 with items: ['0090017100_14062023018806', '0090017100_14062023016522', '0090017100_14062023016522']
Stack 13 with items: ['0090017100_14062023016522', '0090017100_14062023016522', '0090017100_14062023016522']
Stack 14 with items: ['0090017100_14062023016522', '0090017100_14062023016522', '0090017100_14062023016522']
Stack 15 with items: ['0090017100_14062023016227', '0090017100_14062023016227', '0090017100_14062023016227']
Stack 16 with items: ['0090017100_14062023015111', '0090017100_14062023014170', '0090017100_14062023014170']
Stack 17 with items: ['0090017100_14062023014170', '0090017100_14062023011004', '0090017100_14062023011004']
Stack 18 with items: ['0090017100_14062023011004', '0090017100_14062023010878', '0090017100_14062023010878']
Stack 19 with items: ['0090017100_14062023010878', '0090017100_14062023008739', '0090017100_14062023008739']
Stack 20 with items: ['0090017100_14062023008739', '0090017100_14062023007240', '0090017100_14062023007240']
Stack 21 with items: ['0090017100_14062023007240', '0090017100_14062023006509', '0090017100_14062023007240']
Stack 22 with items: ['0090017100_14062023006509', '0090017100_14062023004725', '0090017100_14062023006509']
Stack 23 with items: ['0090017100_14062023004725', '0090017100_14062023004232', '0090017100_14062023004725']
Stack 24 with items: ['0090017100_14062023004232', '0090017100_14062023004208', '0090017100_14062023004232']
Stack 25 with items: ['0090017100_14062023004208', '0090017100_14062023004208', '0090017100_14062023004208']
Heuristic packed all stacks
