dataset: A
instance: PA
+-----------+
2D Packing Heuristic in Truck P248623001
Min2DVol: 24.484479999999998 [m2]
Stack 0 with items: ['0091017200_03072022013969', '0091017200_03072022011222', '0091017200_03072022010612']
Stack 1 with items: ['0091017200_03072022010905', '0091017200_03072022004810', '0091017200_03072022010905']
Stack 2 with items: ['0091017200_03072022010905', '0091017200_03072022002810', '0091017200_03072022010905']
Stack 3 with items: ['0091017200_03072022010905', '0091017200_03072022001183', '0091017200_03072022010905']
Stack 4 with items: ['0091017200_03072022010905', '0091017200_03072022010873']
Stack 5 with items: ['0091017200_03072022010873', '0091017200_03072022010045']
Stack 6 with items: ['0091017200_03072022002110', '0091017200_03072022002110']
Stack 7 with items: ['0091017200_03072022002110', '0091017200_03072022002110']
Stack 8 with items: ['0091017200_03072022016868', '0091017200_03072022016868']
Stack 9 with items: ['0091017200_03072022016166', '0091017200_03072022016868']
Stack 10 with items: ['0091017200_03072022016868', '0091017200_03072022016868']
Stack 11 with items: ['0091017200_03072022016868', '0091017200_03072022016868']
Stack 12 with items: ['0091017200_03072022016868', '0091017200_03072022016868']
Stack 13 with items: ['0091017200_03072022016868', '0091017200_03072022016868']
Stack 14 with items: ['0091017200_03072022016868', '0091017200_03072022016868']
Stack 15 with items: ['0091017200_03072022016166', '0091017200_03072022016868']
Stack 16 with items: ['0091017200_03072022019009', '0091017200_03072022019009']
Stack 17 with items: ['0091017200_03072022019009', '0091017200_03072022019009']
Stack 18 with items: ['0091017200_03072022019009', '0091017200_03072022019009']
Heuristic packed all stacks
