dataset: X
instance: SA
+-----------+
2D Packing Heuristic in Truck P178050613
Min2DVol: 31.290299999999988 [m2]
Stack 0 with items: ['0090017100_08062023015017', '0090017100_08062023009967']
Stack 1 with items: ['0090017100_08062023000544', '0090017100_08062023029253']
Stack 2 with items: ['0090017100_08062023020837', '0090017100_08062023011936']
Stack 3 with items: ['0090017100_08062023013562', '0090017100_08062023013320']
Stack 4 with items: ['0090017100_08062023019914', '0090017100_08062023026249']
Stack 5 with items: ['0090017100_08062023029104', '0090017100_08062023029104', '0090017100_08062023029104']
Stack 6 with items: ['0090017100_08062023029104', '0090017100_08062023019760', '0090017100_08062023019760']
Stack 7 with items: ['0090017100_08062023023418', '0090017100_08062023021380', '0090017100_08062023021380']
Stack 8 with items: ['0090017100_08062023021380', '0090017100_08062023021380', '0090017100_08062023021380']
Stack 9 with items: ['0090017100_08062023021117', '0090017100_08062023021117', '0090017100_08062023021117']
Stack 10 with items: ['0090017100_08062023021117', '0090017100_08062023014891', '0090017100_08062023021117']
Stack 11 with items: ['0090017100_08062023019760', '0090017100_08062023019760', '0090017100_08062023019760']
Stack 12 with items: ['0090017100_08062023019760', '0090017100_08062023019760', '0090017100_08062023019760']
Stack 13 with items: ['0090017100_08062023019760', '0090017100_08062023019760', '0090017100_08062023019760']
Stack 14 with items: ['0090017100_08062023019760', '0090017100_08062023019760', '0090017100_08062023019760']
Stack 15 with items: ['0090017100_08062023019760', '0090017100_08062023005572', '0090017100_08062023005572']
Stack 16 with items: ['0090017100_08062023014891', '0090017100_08062023014891', '0090017100_08062023014891']
Stack 17 with items: ['0090017100_08062023011034', '0090017100_08062023011034', '0090017100_08062023011034']
Stack 18 with items: ['0090017100_08062023011034', '0090017100_08062023011034', '0090017100_08062023011034']
Stack 19 with items: ['0090017100_08062023010970', '0090017100_08062023010970', '0090017100_08062023010970']
Stack 20 with items: ['0090017100_08062023010970', '0090017100_08062023004042', '0090017100_08062023010970']
Stack 21 with items: ['0090017100_08062023005572', '0090017100_08062023005572', '0090017100_08062023005572']
Stack 22 with items: ['0090017100_08062023005572', '0090017100_08062023005572', '0090017100_08062023005572']
Stack 23 with items: ['0090017100_08062023005572', '0090017100_08062023003307', '0090017100_08062023003307']
Stack 24 with items: ['0090017100_08062023004042', '0090017100_08062023004042', '0090017100_08062023004042']
Stack 25 with items: ['0090017100_08062023003307', '0090017100_08062023003307', '0090017100_08062023003307']
Heuristic packed all stacks
