dataset: X
instance: BY6
+-----------+
2D Packing Heuristic in Truck P187224601
Min2DVol: 24.80000000000003 [m2]
Stack 0 with items: ['0090016900_14062023024475', '0090016900_14062023024475']
Stack 1 with items: ['0090016900_14062023024475', '0090016900_14062023024475']
Stack 2 with items: ['0090016900_14062023024473', '0090016900_14062023024473']
Stack 3 with items: ['0090016900_14062023024473', '0090016900_14062023010417']
Stack 4 with items: ['0090016900_14062023010417', '0090016900_14062023010417']
Stack 5 with items: ['0090016900_14062023010417', '0090016900_14062023004820']
Stack 6 with items: ['0090016900_14062023037010', '0090016900_14062023037010', '0090016900_14062023037010']
Stack 7 with items: ['0090016900_14062023037010', '0090016900_14062023035044', '0090016900_14062023037010']
Stack 8 with items: ['0090016900_14062023035044', '0090016900_14062023035044', '0090016900_14062023035044']
Stack 9 with items: ['0090016900_14062023035044', '0090016900_14062023035044', '0090016900_14062023035044']
Stack 10 with items: ['0090016900_14062023035044', '0090016900_14062023035044', '0090016900_14062023035044']
Stack 11 with items: ['0090016900_14062023030117', '0090016900_14062023030117', '0090016900_14062023030117']
Stack 12 with items: ['0090016900_14062023030117', '0090016900_14062023027615', '0090016900_14062023027615']
Stack 13 with items: ['0090016900_14062023027615', '0090016900_14062023027615', '0090016900_14062023027615']
Stack 14 with items: ['0090016900_14062023027615', '0090016900_14062023026106', '0090016900_14062023027615']
Stack 15 with items: ['0090016900_14062023026106', '0090016900_14062023025985', '0090016900_14062023025985']
Stack 16 with items: ['0090016900_14062023025985', '0090016900_14062023025985', '0090016900_14062023025985']
Stack 17 with items: ['0090016900_14062023025985', '0090016900_14062023025985', '0090016900_14062023025985']
Stack 18 with items: ['0090016900_14062023025985', '0090016900_14062023025985', '0090016900_14062023025985']
Stack 19 with items: ['0090016900_14062023025985', '0090016900_14062023025985', '0090016900_14062023025985']
Stack 20 with items: ['0090016900_14062023025985', '0090016900_14062023025985', '0090016900_14062023025985']
Stack 21 with items: ['0090016900_14062023025985', '0090016900_14062023025985', '0090016900_14062023025985']
Stack 22 with items: ['0090016900_14062023025985', '0090016900_14062023025985', '0090016900_14062023025985']
Stack 23 with items: ['0090016900_14062023025985', '0090016900_14062023025985', '0090016900_14062023025985']
