dataset: X
instance: SA6
+-----------+
2D Packing Heuristic in Truck P207050601
Min2DVol: 31.23611999999999 [m2]
Stack 0 with items: ['0090017100_14062023028200', '0090017100_14062023012339']
Stack 1 with items: ['0090017100_14062023006453', '0090017100_14062023000088']
Stack 2 with items: ['0090017100_14062023029598', '0090017100_14062023028820', '0090017100_14062023028820']
Stack 3 with items: ['0090017100_14062023028820', '0090017100_14062023027484', '0090017100_14062023028820']
Stack 4 with items: ['0090017100_14062023027484', '0090017100_14062023026615', '0090017100_14062023027484']
Stack 5 with items: ['0090017100_14062023026615', '0090017100_14062023025444', '0090017100_14062023025444']
Stack 6 with items: ['0090017100_14062023025444', '0090017100_14062023025444', '0090017100_14062023025444']
Stack 7 with items: ['0090017100_14062023025444', '0090017100_14062023025444', '0090017100_14062023025444']
Stack 8 with items: ['0090017100_14062023025444', '0090017100_14062023025444', '0090017100_14062023025444']
Stack 9 with items: ['0090017100_14062023025444', '0090017100_14062023019864', '0090017100_14062023019864']
Stack 10 with items: ['0090017100_14062023023059', '0090017100_14062023020480', '0090017100_14062023017893']
Stack 11 with items: ['0090017100_14062023019864', '0090017100_14062023019864', '0090017100_14062023019864']
Stack 12 with items: ['0090017100_14062023019864', '0090017100_14062023019671', '0090017100_14062023019671']
Stack 13 with items: ['0090017100_14062023019671', '0090017100_14062023019671', '0090017100_14062023019671']
Stack 14 with items: ['0090017100_14062023019671', '0090017100_14062023018806', '0090017100_14062023019671']
Stack 15 with items: ['0090017100_14062023018531', '0090017100_14062023017521', '0090017100_14062023017191']
Stack 16 with items: ['0090017100_14062023016522', '0090017100_14062023016522', '0090017100_14062023016522']
Stack 17 with items: ['0090017100_14062023016522', '0090017100_14062023016522', '0090017100_14062023016522']
Stack 18 with items: ['0090017100_14062023016522', '0090017100_14062023015047', '0090017100_14062023016522']
Stack 19 with items: ['0090017100_14062023016088', '0090017100_14062023008663', '0090017100_14062023005265']
Stack 20 with items: ['0090017100_14062023015047', '0090017100_14062023015047', '0090017100_14062023015047']
Stack 21 with items: ['0090017100_14062023014629', '0090017100_14062023014629', '0090017100_14062023014629']
Stack 22 with items: ['0090017100_14062023014285', '0090017100_14062023014285', '0090017100_14062023014285']
Stack 23 with items: ['0090017100_14062023014285', '0090017100_14062023011113', '0090017100_14062023007571']
Stack 24 with items: ['0090017100_14062023006509', '0090017100_14062023005815', '0090017100_14062023006509']
Stack 25 with items: ['0090017100_14062023002597', '0090017100_14062023002597', '0090017100_14062023002597']
Heuristic packed all stacks
