dataset: A
instance: DO2
+-----------+
2D Packing Heuristic in Truck P199145103
Min2DVol: 17.69402999999999 [m2]
Stack 0 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 1 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 2 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 3 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 4 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 5 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 6 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 7 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 8 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 9 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 10 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 11 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 12 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 13 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 14 with items: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 15 with items: ['0090019100_03072022007629', '0090019100_03072022006610']
Stack 16 with items: ['0090019100_03072022006610', '0090019100_03072022004262']
Stack 17 with items: ['0090019100_03072022006207']
Stacks not packed:
Stack 13 missing: ['0090019100_03072022007629', '0090019100_03072022007629']
Stack 14 missing: ['0090019100_03072022007629', '0090019100_03072022007629']
