dataset: X
instance: AS7
+-----------+
2D Packing Heuristic in Truck P177734601
Min2DVol: 34.56000000000002 [m2]
Stack 0 with items: ['0090018000_14062023003461', '0090018000_14062023003408']
Stack 1 with items: ['0090018000_14062023003408', '0090018000_14062023003408']
Stack 2 with items: ['0090018000_14062023003408', '0090018000_14062023003408']
Stack 3 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 4 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 5 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 6 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 7 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 8 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 9 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 10 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 11 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 12 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 13 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 14 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 15 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 16 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Stack 17 with items: ['0090018000_14062023002304', '0090018000_14062023002304']
Heuristic packed all stacks
