dataset: B
instance: TR
+-----------+
2D Packing Heuristic in Truck P333278203
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090017000_26102022007266', '0090017000_26102022007266', '0090017000_26102022007266']
Stack 1 with items: ['0090017000_26102022007266', '0090017000_26102022007266', '0090017000_26102022007266']
Stack 2 with items: ['0090017000_26102022006442', '0090017000_26102022006442', '0090017000_26102022006442']
Stack 3 with items: ['0090017000_26102022006442', '0090017000_26102022005244', '0090017000_26102022006442']
Stack 4 with items: ['0090017000_26102022005244', '0090017000_26102022005244', '0090017000_26102022005244']
Stack 5 with items: ['0090017000_26102022005244', '0090017000_26102022004182', '0090017000_26102022005244']
Stack 6 with items: ['0090017000_26102022004182', '0090017000_26102022004182', '0090017000_26102022004182']
Stack 7 with items: ['0090017000_26102022004182', '0090017000_26102022004182', '0090017000_26102022004182']
Stack 8 with items: ['0090017000_26102022004182', '0090017000_26102022004182', '0090017000_26102022004182']
Stack 9 with items: ['0090017000_26102022004182', '0090017000_26102022004182', '0090017000_26102022004182']
Stack 10 with items: ['0090017000_26102022004182', '0090017000_26102022004182', '0090017000_26102022004182']
Stack 11 with items: ['0090017000_26102022004182', '0090017000_26102022004182', '0090017000_26102022004182']
Stack 12 with items: ['0090017000_26102022004182', '0090017000_26102022004182', '0090017000_26102022004182']
Stack 13 with items: ['0090017000_26102022004182', '0090017000_26102022004182', '0090017000_26102022004182']
Stack 14 with items: ['0090017000_26102022004182', '0090017000_26102022003750', '0090017000_26102022004182']
Stack 15 with items: ['0090017000_26102022003750', '0090017000_26102022003750', '0090017000_26102022003750']
Stack 16 with items: ['0090017000_26102022001482', '0090017000_26102022001482', '0090017000_26102022001482']
Stack 17 with items: ['0090017000_26102022001007', '0090017000_26102022001007', '0090017000_26102022001007']
Stack 18 with items: ['0090017000_26102022001007', '0090017000_26102022001007', '0090017000_26102022001007']
Stack 19 with items: ['0090017000_26102022001007', '0090017000_26102022001007', '0090017000_26102022001007']
Stack 20 with items: ['0090017000_26102022001007', '0090017000_26102022000236', '0090017000_26102022000236']
Stack 21 with items: ['0090017000_26102022000236', '0090017000_26102022000236', '0090017000_26102022000236']
Stack 22 with items: ['0090017000_26102022000236', '0090017000_26102022000236', '0090017000_26102022000236']
Stack 23 with items: ['0090017000_26102022000236', '0090017000_26102022000236', '0090017000_26102022000236']
Stack 24 with items: ['0090017000_26102022000236', '0090017000_26102022000236', '0090017000_26102022000236']
Stack 25 with items: ['0090017000_26102022000236', '0090017000_26102022000236']
Heuristic packed all stacks
