dataset: C
instance: BY3
+-----------+
2D Packing Heuristic in Truck P104259901
Min2DVol: 28.799999999999994 [m2]
Stack 0 with items: ['0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462']
Stack 1 with items: ['0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462']
Stack 2 with items: ['0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462']
Stack 3 with items: ['0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462']
Stack 4 with items: ['0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462']
Stack 5 with items: ['0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462']
Stack 6 with items: ['0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462']
Stack 7 with items: ['0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462']
Stack 8 with items: ['0090016900_28022023026033', '0090016900_28022023028462', '0090016900_28022023028462', '0090016900_28022023028462']
Stack 9 with items: ['0090016900_28022023026033', '0090016900_28022023026033', '0090016900_28022023026033', '0090016900_28022023026033']
Heuristic packed all stacks
