dataset: C
instance: DO3
+-----------+
2D Packing Heuristic in Truck P082335501
Min2DVol: 31.704 [m2]
Stack 0 with items: ['0090019100_28022023000696', '0090019100_28022023000696', '0090019100_28022023000696', '0090019100_28022023004670']
Stack 1 with items: ['0090019100_28022023002619', '0090019100_28022023002619', '0090019100_28022023002619', '0090019100_28022023012278']
Stack 2 with items: ['0090019100_28022023002471', '0090019100_28022023000696', '0090019100_28022023000696', '0090019100_28022023012278']
Stack 3 with items: ['0090019100_28022023000696', '0090019100_28022023000696', '0090019100_28022023000696']
Stack 4 with items: ['0090019100_28022023020366', '0090019100_28022023020366', '0090019100_28022023020366']
Stack 5 with items: ['0090019100_28022023018312', '0090019100_28022023018312', '0090019100_28022023018312']
Stack 6 with items: ['0090019100_28022023018312', '0090019100_28022023014399', '0090019100_28022023014399']
Stack 7 with items: ['0090019100_28022023014399', '0090019100_28022023014399', '0090019100_28022023014399']
Stack 8 with items: ['0090019100_28022023014399', '0090019100_28022023014399', '0090019100_28022023014399']
Stack 9 with items: ['0090019100_28022023005905', '0090019100_28022023005697', '0090019100_28022023005697']
Stack 10 with items: ['0090019100_28022023005697', '0090019100_28022023005697', '0090019100_28022023005697']
Stack 11 with items: ['0090019100_28022023005697', '0090019100_28022023005697', '0090019100_28022023005697']
Stack 12 with items: ['0090019100_28022023003565', '0090019100_28022023003565', '0090019100_28022023003565']
Stack 13 with items: ['0090019100_28022023003565', '0090019100_28022023003565', '0090019100_28022023003565']
Stack 14 with items: ['0090019100_28022023006481', '0090019100_28022023006481', '0090019100_28022023006481']
Stack 15 with items: ['0090019100_28022023011393', '0090019100_28022023006481', '0090019100_28022023006481']
Stack 16 with items: ['0090019100_28022023008747', '0090019100_28022023015258', '0090019100_28022023019019']
Stack 17 with items: ['0090019100_28022023017852', '0090019100_28022023015258', '0090019100_28022023008747']
Stack 18 with items: ['0090019100_28022023019019', '0090019100_28022023019019', '0090019100_28022023019019']
Stack 19 with items: ['0090019100_28022023017010', '0090019100_28022023019019', '0090019100_28022023019019']
Heuristic packed all stacks
