dataset: C
instance: MA
+-----------+
2D Packing Heuristic in Truck P068030101
Min2DVol: 30.06588 [m2]
Stack 0 with items: ['0090016200_27022023038811', '0090016200_27022023013060', '0090016200_27022023038811', '0090016200_27022023038811']
Stack 1 with items: ['0090016200_27022023029579', '0090016200_27022023029579', '0090016200_27022023029579']
Stack 2 with items: ['0090016200_27022023029579', '0090016200_27022023029579', '0090016200_27022023029579']
Stack 3 with items: ['0090016200_27022023029579', '0090016200_27022023029579', '0090016200_27022023029579']
Stack 4 with items: ['0090016200_27022023003660', '0090016200_27022023003660', '0090016200_27022023003660']
Stack 5 with items: ['0090016200_27022023003660', '0090016200_27022023003660', '0090016200_27022023003660']
Stack 6 with items: ['0090016200_27022023003660', '0090016200_27022023003660', '0090016200_27022023003660']
Stack 7 with items: ['0090016200_27022023031151', '0090016200_27022023031151']
Stack 8 with items: ['0090016200_27022023026909', '0090016200_27022023026909']
Stack 9 with items: ['0090016200_27022023026909', '0090016200_27022023026909']
Stack 10 with items: ['0090016200_27022023026909', '0090016200_27022023026909']
Stack 11 with items: ['0090016200_27022023008252', '0090016200_27022023031151']
Stack 12 with items: ['0090016200_27022023008252', '0090016200_27022023008252']
Stack 13 with items: ['0090016200_27022023026909', '0090016200_27022023026909']
Stack 14 with items: ['0090016200_27022023008252', '0090016200_27022023008252']
Stack 15 with items: ['0090016200_27022023031151', '0090016200_27022023031151']
Stack 16 with items: ['0090016200_27022023035107', '0090016200_27022023035107']
Stack 17 with items: ['0090016200_27022023013365', '0090016200_27022023013365']
Stack 18 with items: ['0090016200_27022023013365', '0090016200_27022023013365']
Stack 19 with items: ['0090016200_27022023035107', '0090016200_27022023035107']
Stack 20 with items: ['0090016200_27022023018826', '0090016200_27022023018826']
Stack 21 with items: ['0090016200_27022023018826', '0090016200_27022023018826']
Stack 22 with items: ['0090016200_27022023018826', '0090016200_27022023018826']
Stack 23 with items: ['0090016200_27022023018826', '0090016200_27022023018826']
Stack 24 with items: ['0090016200_27022023018826', '0090016200_27022023018826']
Stack 25 with items: ['0090016200_27022023018826', '0090016200_27022023018826']
Stack 26 with items: ['0090016200_27022023025463', '0090016200_27022023033866']
Heuristic packed all stacks
