dataset: A
instance: SA
+-----------+
2D Packing Heuristic in Truck P235056203
Min2DVol: 31.23611999999999 [m2]
Stack 0 with items: ['0090017100_03072022006760', '0090017100_03072022006760']
Stack 1 with items: ['0090017100_03072022001669', '0090017100_03072022001669']
Stack 2 with items: ['0090017100_03072022012848', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 3 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 4 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 5 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 6 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 7 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 8 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 9 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 10 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 11 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 12 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 13 with items: ['0090017100_03072022010623', '0090017100_03072022010623', '0090017100_03072022010623']
Stack 14 with items: ['0090017100_03072022007253', '0090017100_03072022007253', '0090017100_03072022007253']
Stack 15 with items: ['0090017100_03072022007253', '0090017100_03072022007253', '0090017100_03072022007253']
Stack 16 with items: ['0090017100_03072022007253', '0090017100_03072022007253', '0090017100_03072022007253']
Stack 17 with items: ['0090017100_03072022007253', '0090017100_03072022006427', '0090017100_03072022007253']
Stack 18 with items: ['0090017100_03072022006427', '0090017100_03072022006427', '0090017100_03072022006427']
Stack 19 with items: ['0090017100_03072022006427', '0090017100_03072022006427', '0090017100_03072022006427']
Stack 20 with items: ['0090017100_03072022006427', '0090017100_03072022006427', '0090017100_03072022006427']
Stack 21 with items: ['0090017100_03072022006427', '0090017100_03072022006427', '0090017100_03072022006427']
Stack 22 with items: ['0090017100_03072022006427', '0090017100_03072022006427', '0090017100_03072022006427']
Stack 23 with items: ['0090017100_03072022006427', '0090017100_03072022006427', '0090017100_03072022006427']
Stack 24 with items: ['0090017100_03072022006427', '0090017100_03072022006427', '0090017100_03072022006427']
Stack 25 with items: ['0090017100_03072022006427', '0090017100_03072022006427', '0090017100_03072022006427']
Heuristic packed all stacks
