dataset: C
instance: TA3
+-----------+
2D Packing Heuristic in Truck P094386105
Min2DVol: 31.78835999999999 [m2]
Stack 0 with items: ['0090038300_28022023020640', '0090038300_28022023020640']
Stack 1 with items: ['0090038300_28022023001244', '0090038300_28022023001244']
Stack 2 with items: ['0090038300_28022023001244', '0090038300_28022023001244']
Stack 3 with items: ['0090038300_28022023027149', '0090038300_28022023027149']
Stack 4 with items: ['0090038300_28022023030058', '0090038300_28022023030058']
Stack 5 with items: ['0090038300_28022023020640', '0090038300_28022023020640']
Stack 6 with items: ['0090038300_28022023015314', '0090038300_28022023004545', '0090038300_28022023015314']
Stack 7 with items: ['0090038300_28022023001345', '0090038300_28022023001345', '0090038300_28022023004545']
Stack 8 with items: ['0090038300_28022023001345', '0090038300_28022023015314', '0090038300_28022023021550']
Stack 9 with items: ['0090038300_28022023004545', '0090038300_28022023004545', '0090038300_28022023021550']
Stack 10 with items: ['0090038300_28022023030477', '0090038300_28022023030477', '0090038300_28022023030477']
Stack 11 with items: ['0090038300_28022023030477', '0090038300_28022023030477', '0090038300_28022023030477']
Stack 12 with items: ['0090038300_28022023020701', '0090038300_28022023015931', '0090038300_28022023020701']
Stack 13 with items: ['0090038300_28022023015931', '0090038300_28022023015931', '0090038300_28022023015931']
Stack 14 with items: ['0090038300_28022023015931', '0090038300_28022023015931', '0090038300_28022023015931']
Stack 15 with items: ['0090038300_28022023015931', '0090038300_28022023015931', '0090038300_28022023015931']
Stack 16 with items: ['0090038300_28022023015931', '0090038300_28022023015931', '0090038300_28022023015931']
Stack 17 with items: ['0090038300_28022023015931', '0090038300_28022023010924', '0090038300_28022023010924']
Stack 18 with items: ['0090038300_28022023009260', '0090038300_28022023009260', '0090038300_28022023009260']
Stack 19 with items: ['0090038300_28022023009260', '0090038300_28022023005310', '0090038300_28022023005310']
Stack 20 with items: ['0090038300_28022023005310', '0090038300_28022023005310', '0090038300_28022023005310']
Stack 21 with items: ['0090038300_28022023005310', '0090038300_28022023005310', '0090038300_28022023005310']
Stack 22 with items: ['0090038300_28022023005310', '0090038300_28022023005310', '0090038300_28022023005310']
Stack 23 with items: ['0090038300_28022023005310', '0090038300_28022023005310', '0090038300_28022023005310']
Heuristic packed all stacks
