dataset: X
instance: AS
+-----------+
2D Packing Heuristic in Truck P172770401
Min2DVol: 36.734024999999995 [m2]
Stack 0 with items: ['0090018000_08062023013062', '0090018000_08062023000412']
Stack 1 with items: ['0090018000_08062023009258', '0090018000_08062023008364']
Stack 2 with items: ['0090018000_08062023011266', '0090018000_08062023009605']
Stack 3 with items: ['0090018000_08062023012621', '0090018000_08062023011835']
Stack 4 with items: ['0090018000_08062023013958', '0090018000_08062023013634', '0090018000_08062023012445']
Stack 5 with items: ['0090018000_08062023012445', '0090018000_08062023011523', '0090018000_08062023012445']
Stack 6 with items: ['0090018000_08062023010387', '0090018000_08062023010387', '0090018000_08062023010387']
Stack 7 with items: ['0090018000_08062023010387', '0090018000_08062023010387', '0090018000_08062023010387']
Stack 8 with items: ['0090018000_08062023008990', '0090018000_08062023008513', '0090018000_08062023008513']
Stack 9 with items: ['0090018000_08062023008513', '0090018000_08062023008513', '0090018000_08062023008513']
Stack 10 with items: ['0090018000_08062023008513', '0090018000_08062023008513', '0090018000_08062023008513']
Stack 11 with items: ['0090018000_08062023008513', '0090018000_08062023008513', '0090018000_08062023008513']
Stack 12 with items: ['0090018000_08062023008513', '0090018000_08062023007796', '0090018000_08062023007796']
Stack 13 with items: ['0090018000_08062023007559', '0090018000_08062023006827', '0090018000_08062023006827']
Stack 14 with items: ['0090018000_08062023006827', '0090018000_08062023005486', '0090018000_08062023005486']
Stack 15 with items: ['0090018000_08062023005486', '0090018000_08062023005486', '0090018000_08062023005486']
Stack 16 with items: ['0090018000_08062023005486', '0090018000_08062023005486', '0090018000_08062023005486']
Stack 17 with items: ['0090018000_08062023005486', '0090018000_08062023005145', '0090018000_08062023005486']
Stack 18 with items: ['0090018000_08062023005145', '0090018000_08062023005145', '0090018000_08062023005145']
Stack 19 with items: ['0090018000_08062023005145', '0090018000_08062023005145', '0090018000_08062023005145']
Stack 20 with items: ['0090018000_08062023005145', '0090018000_08062023005145', '0090018000_08062023005145']
Stack 21 with items: ['0090018000_08062023005145', '0090018000_08062023004923', '0090018000_08062023004923']
Stack 22 with items: ['0090018000_08062023004778', '0090018000_08062023004778', '0090018000_08062023004778']
Stack 23 with items: ['0090018000_08062023004778', '0090018000_08062023004778', '0090018000_08062023004778']
Stack 24 with items: ['0090018000_08062023004778', '0090018000_08062023004180', '0090018000_08062023004778']
Stack 25 with items: ['0090018000_08062023004180', '0090018000_08062023002506', '0090018000_08062023002506']
Stack 26 with items: ['0090018000_08062023002506', '0090018000_08062023001206', '0090018000_08062023001206']
Stack 27 with items: ['0090018000_08062023001080', '0090018000_08062023001080', '0090018000_08062023001080']
Stack 28 with items: ['0090018000_08062023000618', '0090018000_08062023000618', '0090018000_08062023000618']
Stack 29 with items: ['0090018000_08062023009809']
Stacks not packed:
Stack 5 missing: ['0090018000_08062023012445', '0090018000_08062023011523', '0090018000_08062023012445']
Stack 12 missing: ['0090018000_08062023008513', '0090018000_08062023007796', '0090018000_08062023007796']
