dataset: B
instance: TA
+-----------+
2D Packing Heuristic in Truck P321381301
Min2DVol: 31.218060000000005 [m2]
Stack 0 with items: ['0090038300_26102022002300', '0090038300_26102022000486']
Stack 1 with items: ['0090038300_26102022011839', '0090038300_26102022011204', '0090038300_26102022011204']
Stack 2 with items: ['0090038300_26102022011334', '0090038300_26102022011334', '0090038300_26102022011334']
Stack 3 with items: ['0090038300_26102022011204', '0090038300_26102022011204', '0090038300_26102022011204']
Stack 4 with items: ['0090038300_26102022010692', '0090038300_26102022008116', '0090038300_26102022007615']
Stack 5 with items: ['0090038300_26102022010036', '0090038300_26102022007758', '0090038300_26102022007758']
Stack 6 with items: ['0090038300_26102022007619', '0090038300_26102022007512', '0090038300_26102022007512']
Stack 7 with items: ['0090038300_26102022006613', '0090038300_26102022002748', '0090038300_26102022002748']
Stack 8 with items: ['0090038300_26102022003473', '0090038300_26102022003257', '0090038300_26102022003257']
Stack 9 with items: ['0090038300_26102022003257', '0090038300_26102022003257', '0090038300_26102022003257']
Stack 10 with items: ['0090038300_26102022003257', '0090038300_26102022003257', '0090038300_26102022003257']
Stack 11 with items: ['0090038300_26102022003257', '0090038300_26102022003257', '0090038300_26102022003257']
Stack 12 with items: ['0090038300_26102022003257', '0090038300_26102022002632', '0090038300_26102022000917']
Stack 13 with items: ['0090038300_26102022002748', '0090038300_26102022002748', '0090038300_26102022002748']
Stack 14 with items: ['0090038300_26102022001977', '0090038300_26102022001977', '0090038300_26102022007409']
Stack 15 with items: ['0090038300_26102022007056', '0090038300_26102022007056', '0090038300_26102022007056']
Stack 16 with items: ['0090038300_26102022001977', '0090038300_26102022001977', '0090038300_26102022001977']
Stack 17 with items: ['0090038300_26102022003483', '0090038300_26102022003483', '0090038300_26102022003483']
Stack 18 with items: ['0090038300_26102022002882', '0090038300_26102022006506', '0090038300_26102022011981']
Stack 19 with items: ['0090038300_26102022003483', '0090038300_26102022007409', '0090038300_26102022007409']
Stack 20 with items: ['0090038300_26102022004390', '0090038300_26102022004390', '0090038300_26102022009430']
Heuristic packed all stacks
