dataset: C
instance: SA
+-----------+
2D Packing Heuristic in Truck P072056111
Min2DVol: 31.325225999999986 [m2]
Stack 0 with items: ['0090017100_27022023033115', '0090017100_27022023033115']
Stack 1 with items: ['0090017100_27022023015251', '0090017100_27022023033115']
Stack 2 with items: ['0090017100_27022023033115', '0090017100_27022023003501']
Stack 3 with items: ['0090017100_27022023022223', '0090017100_27022023022223']
Stack 4 with items: ['0090017100_27022023022223', '0090017100_27022023022223']
Stack 5 with items: ['0090017100_27022023019702', '0090017100_27022023019702', '0090017100_27022023019702']
Stack 6 with items: ['0090017100_27022023019702', '0090017100_27022023034584', '0090017100_27022023034584']
Stack 7 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 8 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 9 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 10 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 11 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 12 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 13 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 14 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 15 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 16 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 17 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 18 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 19 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 20 with items: ['0090017100_27022023034485', '0090017100_27022023034485', '0090017100_27022023034485']
Stack 21 with items: ['0090017100_27022023023354', '0090017100_27022023023354', '0090017100_27022023034485']
Stack 22 with items: ['0090017100_27022023023354', '0090017100_27022023023354', '0090017100_27022023023354']
Stack 23 with items: ['0090017100_27022023023354', '0090017100_27022023023354', '0090017100_27022023023354']
Stack 24 with items: ['0090017100_27022023023354', '0090017100_27022023023354', '0090017100_27022023023354']
Stack 25 with items: ['0090017100_27022023023354', '0090017100_27022023023354', '0090017100_27022023023354']
Heuristic packed all stacks
