dataset: X
instance: BY7
+-----------+
2D Packing Heuristic in Truck P191219241
Min2DVol: 30.636779999999987 [m2]
Stack 0 with items: ['0090016900_14062023011733', '0090016900_14062023000443', '0090016900_14062023000443', '0090016900_14062023011733', '0090016900_14062023011733', '0090016900_14062023011733', '0090016900_14062023043359', '0090016900_14062023043359']
Stack 1 with items: ['0090016900_14062023038627', '0090016900_14062023012455']
Stack 2 with items: ['0090016900_14062023032526', '0090016900_14062023030492', '0090016900_14062023011435']
Stack 3 with items: ['0090016900_14062023031332', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 4 with items: ['0090016900_14062023020986', '0090016900_14062023020986', '0090016900_14062023020986']
Stack 5 with items: ['0090016900_14062023020986', '0090016900_14062023020986', '0090016900_14062023020986']
Stack 6 with items: ['0090016900_14062023020986', '0090016900_14062023020986', '0090016900_14062023020986']
Stack 7 with items: ['0090016900_14062023020986', '0090016900_14062023020986', '0090016900_14062023020986']
Stack 8 with items: ['0090016900_14062023020986', '0090016900_14062023013806', '0090016900_14062023020986']
Stack 9 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 10 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 11 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 12 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 13 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 14 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 15 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 16 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 17 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 18 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 19 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 20 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 21 with items: ['0090016900_14062023020566', '0090016900_14062023020566', '0090016900_14062023020566']
Stack 22 with items: ['0090016900_14062023020566', '0090016900_14062023012829', '0090016900_14062023020566']
Stack 23 with items: ['0090016900_14062023013806', '0090016900_14062023013806', '0090016900_14062023013806']
Stack 24 with items: ['0090016900_14062023013806', '0090016900_14062023013806', '0090016900_14062023013806']
Stack 25 with items: ['0090016900_14062023013806', '0090016900_14062023013806', '0090016900_14062023013806']
Stack 26 with items: ['0090016900_14062023013806', '0090016900_14062023013806']
Stack 27 with items: ['0090016900_14062023012829', '0090016900_14062023012829', '0090016900_14062023012829']
Stack 28 with items: ['0090016900_14062023012829', '0090016900_14062023012829', '0090016900_14062023012829']
Stack 29 with items: ['0090016900_14062023012829', '0090016900_14062023012829', '0090016900_14062023012829']
Stack 30 with items: ['0090016900_14062023012829', '0090016900_14062023012829', '0090016900_14062023012829']
Stack 31 with items: ['0090016900_14062023012829', '0090016900_14062023012829', '0090016900_14062023012829']
Stack 32 with items: ['0090016900_14062023012829', '0090016900_14062023012829', '0090016900_14062023012829']
Stack 33 with items: ['0090016900_14062023012829', '0090016900_14062023012829']
Stack 34 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Stack 35 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Stack 36 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Stack 37 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Stack 38 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Stack 39 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Stack 40 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Stack 41 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Stack 42 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Stack 43 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Stack 44 with items: ['0090016900_14062023012889', '0090016900_14062023012889', '0090016900_14062023012889']
Heuristic packed all stacks
